id,sysname,hostname,firstoccurredtime,lastoccurredtime,compressedtime,summary,severity,serial,flag,assignedto,status,timestamp,riskratio,key,knowledge
70244,P2,zos,40:14.0,40:14.0,2,"00.40.03 CP2D S0015918 *IOS003A 24AB,INTERVENTION REQUIRED",1,110326878,2,ÁõÖÛÅô,1,2019/5/1 1:00,10+,IOS003A,1
70245,P2,zos,40:14.0,40:14.0,1,"00.40.03 CP2D S0015918 *IOS003A 24AA,INTERVENTION REQUIRED",1,110326879,2,ÁõÖÛÅô,1,2019/5/1 1:00,10+,IOS003A,1
70246,P2,zos,40:09.0,40:09.0,2,"00.40.02 CP2D S0015918 *IOS003A 1E14,INTERVENTION REQUIRED",1,110326876,2,ÁõÖÛÅô,1,2019/5/1 1:00,10+,IOS003A,1
70247,P2,zos,40:09.0,40:09.0,2,"00.40.02 CP2D S0015918 *IOS003A 1E13,INTERVENTION REQUIRED",1,110326875,2,ÁõÖÛÅô,1,2019/5/1 1:00,10+,IOS003A,1
70248,P2,zos,40:09.0,40:09.0,1,"*00.40.03 CP2D S0015918 *IOS003A 24AA,INTERVENTION REQUIRED",1,110326877,2,ÁõÖÛÅô,1,2019/5/1 1:00,10+,IOS003A,1
70249,P2,zos,46:26.0,46:26.0,1,01.45.30 CP2D J0125177 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,1,110326918,2,ÁõÖÛÅô,1,2019/5/1 2:00,1+,IEF099I,1
70250,P2,zos,16:55.0,16:55.0,1,"01.16.26 CP2A           IOS080I 4781,F9,FG230007, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBS.BBCQ.EXTRGLIF.FG160031",1,110326897,2,ÁõÖÛÅô,1,2019/5/1 2:00,1+,IOS080I,1
70252,P1,zos,56:24.0,56:24.0,2,02.56.17 CP1E J0072008 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1,110326982,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,IEF099I,1
70253,P1,zos,49:37.0,49:38.0,15,02.49.27 CP1F S0053495 *DSNB319A  -DP41 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP4-SEC,1,110326967,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,DSNB319A,1
70254,P2,zos,16:55.0,35:45.0,6,"02.35.19 CP2C           IOS080I 4DB0,A5,RI62MIGD, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBSR.LVEQ.RP.GLIFINVA.RI62SIAD.RI62",1,110326897,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,IOS080I,1
70255,P3,zos,28:20.0,28:20.0,1,02.28.10 CP3A J0124843 *IEF099I JOB DEDPLK31 WAITING FOR DATA SETS,1,110326961,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,IEF099I,1
70256,P3,zos,15:32.0,15:32.0,1,02.15.09 CP3B J0121800 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,1,110326949,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,IEF099I,1
70257,P1,zos,15:08.0,15:08.0,1,02.15.00 CP1C J0069474 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,1,110326948,2,ÁõÖÛÅô,1,2019/5/1 3:00,1+,IEF099I,1
70258,P1,zos,00:11.0,00:11.0,1,03.00.01 CP1D J0072135 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,1,110326985,2,ÁõÖÛÅô,1,2019/5/1 4:00,1+,IEF099I,1
70259,P3,zos,54:24.0,56:22.0,11,04.54.02 CP3A S0124162 *DSNB319A  -DP1Z DSNB5STS THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP32K1-SEC,1,110327097,2,ÁõÖÛÅô,1,2019/5/1 5:00,1+,DSNB319A,1
70260,P3,zos,54:42.0,56:22.0,4,"04.54.02 CP3B          *IXC585E STRUCTURE DSNDP0Z_GBP32K1 IN COUPLING * FACILITY BCC1C5, *PHYSICAL STRUCTURE VERSION D5BA6269 7A6BF857, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       T",1,110327098,2,ÁõÖÛÅô,1,2019/5/1 5:00,1+,IXC585E,1
70261,P3,zos,55:52.0,55:52.0,4,04.53.29 CP3B S0124367 *DSNB325A  -DP2Z DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP32K1-SEC,1,110327099,2,ÁõÖÛÅô,1,2019/5/1 5:00,1+,DSNB325A,1
70262,P2,zos,16:55.0,37:54.0,18,"04.33.37 CP2B           IOS080I 4DC1,B4,ZS010013, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLOIM13",1,110326897,2,ÁõÖÛÅô,1,2019/5/1 5:00,1+,IOS080I,1
70263,P1,zos,41:02.0,41:02.0,1,05.40.57 CP1C J0087397 *IEF099I JOB G01UL133 WAITING FOR DATA SETS,1,110327130,2,ÁõÖÛÅô,1,2019/5/1 6:00,1+,IEF099I,1
70264,P1,zos,35:07.0,35:07.0,2,05.35.02 CP1C J0087301 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1,110327129,2,ÁõÖÛÅô,1,2019/5/1 6:00,1+,IEF099I,1
70265,P1,zos,15:12.0,15:12.0,1,05.15.04 CP1E J0086815  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.3% INUSE SYSJOB,1,110327112,2,ÁõÖÛÅô,1,2019/5/1 6:00,1+,DBA:BANCS,1
70266,P1,zos,15:06.0,15:07.0,2,05.15.01 CP1E J0086815  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.2% INUSE SYSJOB,1,110327110,2,ÁõÖÛÅô,1,2019/5/1 6:00,1+,DBA:BANCS,1
70267,P1,zos,15:06.0,15:06.0,2,05.15.02 CP1E J0086815  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 70.9% INUSE SYSJOB,1,110327111,2,ÁõÖÛÅô,1,2019/5/1 6:00,1+,DBA:BANCS,1
70268,P3,zos,02:02.0,02:02.0,2,06.01.56 CP3C J0141062  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.6% INUSE SYSJOB,1,110327159,2,ÁõÖÛÅô,1,2019/5/1 7:00,1+,DBA:BOCSY,1
70269,P1,zos,34:35.0,34:35.0,2,07.34.29 CP1E J0088975 *IEF099I JOB G00S077B WAITING FOR DATA SETS,1,110327271,2,ÁõÖÛÅô,1,2019/5/1 8:00,1+,IEF099I,1
70270,P3,zos,01:54.0,01:54.0,2,13.01.47 CP3C J0185011  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.8% INUSE SYSJOB,1,110327425,2,ÁõÖÛÅô,1,2019/5/1 14:00,1+,DBA:BOCSY,1
