id,risk,category,summary,timestamp,key
80033,1+,9,23.44.40 CP1F J0192655 *IEF099I JOB G01S663B WAITING FOR DATA SETS,2019/6/7 0:00,IEF099I
80034,1+,9,23.26.45 CP1D J0191304 *IEF099I JOB EC041100 WAITING FOR DATA SETS,2019/6/7 0:00,IEF099I
80035,1+,9,23.20.46 CP1D J0190185 *IEF099I JOB EC044300 WAITING FOR DATA SETS,2019/6/7 0:00,IEF099I
80036,10+,9,00.56.37 CP3A J0144347 *IEF099I JOB DEDPID31 WAITING FOR DATA SETS,2019/6/7 1:00,IEF099I
80037,1+,3,".48.13 CP2D           IOS080I 15FB,84,TUE73203, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.DATA.UNLO.PAIF.TUE73203",2019/6/7 1:00,IOS080I
80038,1+,9,00.40.51 CP1E J0193143 *IEF099I JOB SA060000 WAITING FOR DATA SETS,2019/6/7 1:00,IEF099I
80039,1+,2,00.12.30 CP1E S0008418  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = DSNDP01.DP71APPL.D63B9E453F2E = 37659 -,2019/6/7 1:00,DSNR035I
80040,10+,1,01.57.47 CP2B J0091299 *IEF099I JOB RO00BHMD WAITING FOR DATA SETS,2019/6/7 2:00,IEF099I
80041,1+,8,01.48.41 CP1F S0008420 *DSNB319A  -DP81 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP25-SEC,2019/6/7 2:00,DSNB319A
80042,1+,1,01.41.45 CP2B J0086080 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,2019/6/7 2:00,IEF099I
80047,1+,1,02.41.24 CP1E J0010913 *IEF099I JOB G01S506B WAITING FOR DATA SETS,2019/6/7 3:00,IEF099I
80049,1+,3,"02.21.07 CP2C           IOS080I 4089,34,RI44SIAD, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBS.BBCQ.GLIFINVA.FG134400",2019/6/7 3:00,IOS080I
80050,1+,1,02.15.03 CP3A J0154436 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,2019/6/7 3:00,IEF099I
80051,1+,1,02.15.01 CP1D J0009886 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,2019/6/7 3:00,IEF099I
80052,1+,1,02.14.22 CP3B J0154245 *IEF099I JOB DEDPLK23 WAITING FOR DATA SETS,2019/6/7 3:00,IEF099I
80053,1+,9,02.14.05 CP3A J0154171 *IEF099I JOB DEDPPK23 WAITING FOR DATA SETS,2019/6/7 3:00,IEF099I
80054,1+,1,03.27.32 CP2B J0117225 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,2019/6/7 4:00,IEF099I
80055,1+,9,04.31.57 CP3C J0173750 *IEF099I JOB DEDPDES5 WAITING FOR DATA SETS,2019/6/7 5:00,IEF099I
80056,1+,9,04.31.47 CP3D J0173707 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,2019/6/7 5:00,IEF099I
80057,1+,9,04.24.27 CP3C J0171841 *IEF099I JOB DEDPAB31 WAITING FOR DATA SETS,2019/6/7 5:00,IEF099I
80058,1+,9,05.22.00 CP1C J0015716 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,2019/6/7 6:00,IEF099I
80059,1+,0,05.06.06 CP1E J0015252  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 73.5% INUSE SYSJOB,2019/6/7 6:00,DBA:BANCS
80060,1+,0,05.06.07 CP1E J0015252  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 77.1% INUSE SYSJOB,2019/6/7 6:00,DBA:BANCS
80061,1+,0,05.06.05 CP1E J0015252  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 74.4% INUSE SYSJOB PU GEN NOT SUPPORTED,2019/6/7 6:00,DBA:BANCS
80062,1+,0,05.06.06 CP1E J0015252  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 72.3% INUSE SYSJOB,2019/6/7 6:00,DBA:BANCS
80063,1+,5,05.04.09 CP1F J0015372  +DBA:EISS BIG PARTITION TS FOUND!CGEN961P PART 3 75.9% INUSE SYSJOB,2019/6/7 6:00,DBA:EISS
80064,1+,9,06.17.42 CP1D J0016447 *IEF099I JOB STP2     WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80065,10+,6,06.06.53 CP1A S0052366  BZZFSUSGES0 SEV=WAR CP1D ZFS Name: OMVS.CP1D.ZOS203.VAR USEAGE: 83.30,2019/6/7 7:00,BZZFSUSGES0
80066,1+,9,06.05.01 CP1B S0016215 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80067,1+,9,06.05.01 CP1C S0016216 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80068,1+,9,06.05.00 CP1E S0016213 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80069,1+,9,06.05.00 CP1D S0016212 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80070,1+,9,06.05.01 CP1A S0016214 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 7:00,IEF099I
80071,10+,9,"06.05.00 CP1F S0016211 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS OPERATION(0090), IN APPLICATION CFS0AE2EBATCH01 , WORK STATION = CFSA, -   IA = 1906062300",2019/6/7 7:00,IEF099I
80072,1+,4,06.02.10 CP3C J0176255  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 70.7% INUSE SYSJOB,2019/6/7 7:00,DBA:BOCSY
80073,1+,4,06.02.10 CP3C J0176255  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 74.0% INUSE SYSJOB,2019/6/7 7:00,DBA:BOCSY
80074,1+,9,07.52.24 CP1F J0017438 *IEF099I JOB G00S077B WAITING FOR DATA SETS,2019/6/7 8:00,IEF099I
80075,1+,2,10.52.25 CP1F S0008412  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000302 -           CONNECTION ID  = BATCH -           LUWID = DSNDP01.DP41APPL.D63C308B0A9F = 134027 -,2019/6/7 11:00,DSNR035I
80076,1+,9,10.52.10 CP1C J0020241 *IEF099I JOB IXOUTBKX WAITING FOR DATA SETS,2019/6/7 11:00,IEF099I
80077,1+,9,12.05.01 CP1F S0021728 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 13:00,IEF099I
80078,1+,9,12.05.01 CP1A S0021729 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 13:00,IEF099I
80079,1+,9,12.05.01 CP1E S0021727 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 13:00,IEF099I
80080,1+,9,12.05.00 CP1B S0021723 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS FROM S0021722 JOB,2019/6/7 13:00,IEF099I
80081,1+,9,12.05.00 CP1D S0021726 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 13:00,IEF099I
80082,1+,9,12.05.00 CP1C S0021725 *IEF099I JOB DUMPXY   WAITING FOR DATA SETS,2019/6/7 13:00,IEF099I
80083,1+,4,13.02.03 CP3C J0021926  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 74.0% INUSE SYSJOB,2019/6/7 14:00,DBA:BOCSY
80084,1+,4,13.02.03 CP3C J0021926  +DBA:BOCSY BIG PARTITION TS FOUND!TSSORD PART 4 70.7% INUSE SYSJOB,2019/6/7 14:00,DBA:BOCSY
80087,1+,8,18.01.49 CP1C S0007732 *DSNB319A  -DP11 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP25-SEC,2019/6/7 19:00,DSNB319A
80088,1+,8,18.03.49 CP1D S0008408 *DSNB325A  -DP21 DSNB5STS THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP25-SEC,2019/6/7 19:00,DSNB325A
80089,1+,0,21.14.43 CP1C J0027604  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 72.3% INUSE SYSJOB,2019/6/7 22:00,DBA:BANCS
80090,1+,0,21.14.43 CP1C J0027604  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 74.4% INUSE SYSJOB,2019/6/7 22:00,DBA:BANCS
80091,1+,0,21.14.44 CP1C J0027604  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 77.1% INUSE SYSJOB,2019/6/7 22:00,DBA:BANCS
80092,1+,0,21.14.43 CP1C J0027604  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 73.5% INUSE SYSJOB,2019/6/7 22:00,DBA:BANCS
