,summary,risk,category,CDFscore
0,".38.12 CP2B           IOS080I 23FC,**,UL863601, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.INVE.UU863601",30,8,0.966541408
1,00.56.41 CP1F S0124251  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP41APPL.D4EE7AA612B6 = 18112 -,158,0,0.993785229
2,01.00.06 CP3D J0191866 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3,0,0.643590114
3,01.05.03 CP1D J0110559 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS,3,0,0.650093944
4,01.05.03 CP3B J0192995 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3,0,0.641349906
5,01.05.04 CP1E J0110560 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3,0,0.640554993
6,01.11.15 CP2C J0028425 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3,0,0.666859373
7,01.24.44 CP1D S0124248 *DSNB319A  -DP21 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP3,74,0,0.986558751
8,01.44.30 CP1C J0111332 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3,0,0.660933661
9,02.00.01 CP1C J0111538 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,3,0,0.642289348
10,02.00.03 CP3A J0003273 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3,0,0.661656309
11,02.15.03 CP3A J0005576 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3,0,0.656453245
12,02.36.20 CP1E J0123486 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3,0,0.659632895
13,02.52.16 CP2D J0056851 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,3,0,0.675097557
14,05.01.46 CP3A J0020717  +DBA:BOCSZ BIG PARTITION TS FOUND!TSINXH PART 25 84.2% INUSE SYSJOB,29,5,0.965891025
15,05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3,5,0.632389074
16,05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.0% INUSE SYSJOB,3,5,0.633328516
17,14  05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3,5,0.621260298
18,23  05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 74.4% INUSE SYSJOB,3,5,0.63686949
19,05.04.05 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2,5,0.586500939
20,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.110926434
21,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.102326926
22,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.108686226
23,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1,2,0.16440237
24,05.04.08 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3,5,0.632316809
25,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2,2,0.581803729
26,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2,2,0.461193814
27,05.42.03 CP1D J0129728 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,3,0,0.659054777
28,05.55.06 CP1C J0129974 *IEF099I JOB A01S804B WAITING FOR DATA SETS,3,0,0.66772655
29,06.12.10 CP1D J0130208 *IEF099I JOB A01M9251 WAITING FOR DATA SETS,3,0,0.686804452
30,06.12.10 CP1E J0130210 *IEF099I JOB A01M9259 WAITING FOR DATA SETS,3,0,0.69056222
31,07.40.24 CP3D S0098408  BSOEXTSPSS1 SEV=WAR CP3D Data Set: OPERZ.TWZP.APALL.D180905 EXTENTS = 11 (Exts > 10),23,0,0.955701691
32,07.46.13 CP1D S0041765  BSOEXTPDSS0 SEV=WAR CP1B Data Set: BOCBMC.MV.UBBPARM EXTENTS = 13 (Exts > 12),26,0,0.962205521
33,08.06.31 CP2D S0189174  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 15 (Exts > 12),23,0,0.956713398
34,12.26.14 CP1E S0124257  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200008 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP71APPL.D4EF166DF273 = 66943 -,141,0,0.992990317
35,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.101242954
36,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.108324902
37,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1,2,0.10738546
38,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1,2,0.105795635
