告警信息,所属类别,预估方差,CDF百分比,风险指数
SUMMARY,2,-1.064742534,1,10000
"08.46.13 CP1C S0064823 *0809 @SLS6613E 1 REQUESTS ARE STALLED AWAITING * OFFLINE RTDS, REPLY R TO RETRY",2,-1.05593653,0.999641062,2178.945722
05.04.04 CP1C J0140338  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 678 87.1% INUSE SYSJOB STC             ) ISF.CONNECT.CP1C CL(SDSF    ) INSUFFICIENT ACCESS AUTHORITY FROM ISF*.** (G) ACCESS INTENT(READ   )  ACCESS ALLOWED(NONE   ),2,-1.053807413,0.999282125,1222.680593
18.17.55 CP1E S0129913  BQBANCBGLS0 SEV=WAR QP11 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:22837 (CurrentDepth >= 20000)         请关注BGL队列深度变化，加强监控,2,-1.047458826,0.998923187,849.7529433
"03.23.21 CP1D J0068438 *IEF099I JOB G01S506B WAITING FOR DATA SETS usage: local storage: used 635MB, free 900MB: above bar: used 12GB, free - >10GB",7,-1.042675034,0.99856425,651.1475716
07.01.44 CP1E S0041766  BQAPPQDEPS0 SEV=WAR QWP1 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2197 (CurrentDepth >= 2000),2,-1.042117191,0.998205312,527.7914599
05.01.46 CP3A J0020717  +DBA:BOCSZ BIG PARTITION TS FOUND!TSINXH PART 25 84.2% INUSE SYSJOB,2,-1.03986505,0.997846375,443.7294938
"E2E: 19.36.34 CP3B S0101290  BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:0        端到端主机Log DC重连Socket失败，Log DC线程退出。",2,-1.031213914,0.997487437,382.7659165
"E2E: 19.35.51 CP1F S0126440  BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:5 04-       端到端主机Log DC重连Socket失败，Log DC线程退出。",2,-1.030257262,0.9971285,336.5303312
"E2E: 22.14.19 CP3A S0101289  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",2,-1.028860645,0.996769562,300.2608152
"E2E: 22.14.33 CP1E S0126441  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:5        端到端主机Log DC重连Socket失败，Log DC线程退出。",2,-1.027124237,0.996410625,271.0485864
"03.30.33 S0177752  +CSQX208E !QPS2 CSQXRESP Error receiving data, channel QR.CHL1.QM93.TO.QPS2 connection 11.4.35.141 -  (queue manager QM93) -  TRPTYPE=TCP RC=00000006  reason=00000000",2,-1.026585352,0.996051687,247.0164737
"04.11.46 CP1C           IOS080I 3FE7,4B,ZAPISS0G, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=SYS1.VTOC.VPP3FE7",0,-1.025732511,0.995692749,226.8988321
"20.28.06 CP1E S0177455  +CSQX208E !MQ3A CSQXRESP Error receiving data, channel CH_HHAP.TO.EACQ connection 21.123.109.144 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000461 (ECONNRESET) reason=769E0291",2,-1.02546696,0.995333812,209.8112753
20.06.57 CP3D S0048789  _CSQX599E !QP2S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.38.168,2,-1.023475376,0.994974874,195.1171683
15.44.14 CP1E S0182336  DNQK1006E 2018-09-17 07:44:14 BOCOU01  Message '34473102' was backed out.,2,-1.020430219,0.994615937,182.3465501
"01.46.17 CP2B           IOS080I 5AB5,9C,RI33D09D, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED DATASET NAME=PRDCBSR.LVEQ.RP.RPMDD622.RI33D09D",2,-1.019516738,0.994256999,171.1449388
