告警信息,所属类别,预估方差,CDF百分比,风险指数
21.13.27 CP1F J0187591 +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 70.8% INUSE SYSJOB IST894I ADJSSCPS TRIED FAILURE SENSE ADJSSCPS TRIED FAILURE SENSE IST895I ISTAPNCP 08400007 IS T314I END,4,-1.058263415,0.999870651,4360.160171
"E2E: 21.25.24 CP1F S0188431 BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:6 端到端主机Log DC重连Socket失败，Log DC线程退出。",4,-1.044331563,0.999611952,2048.978294
"21.13.54 CP1F J0106002 +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 76.2% INUSE SYSJOB ""NBANCS.TMAP"" for Q subscription ""DP01_TO_QMDD_HS1_NTMAP"" - (receive queue ""QR.SENDQ1.QPS1.TO.QMDD"", replic ation queue map - ""DP01_TO_QMDD_HS1""). The handling of",4,-1.039930663,0.998835856,791.0488995
"E2E: 21.26.09 CP3A S0060170 BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:1 端到端主机Log DC重连Socket失败，Log DC线程退出。",4,-1.037409347,0.998447808,605.2563591
"18.14.23 CP1F J0094914 $HASP100 TF000802 ON INTRDR FROM J0016670 TFDR0107 GBP1, - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL = 00D43E1 E975465000000 18:04:20 APR 27,",4,-1.030572878,0.997801061,434.983205
"01.13.15 CP1E S0021662 +EYUPN0005W CIP1MM31 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT32, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 01:13:15.",4,-1.027826321,0.997413013,372.1640006
"18.52.41 CP1D S0022053 +CSQX208E !QWP1 CSQXRESP Error receiving data, channel SWIFTI.QWP0 connection (11.3.2.4) AA- (queue manager QWP0) - TRPTYPE=TCP RC=00000461 (ECONNRESET) reason=76650446",4,-1.027385109,0.997154314,339.4794736
09.42.56 CP3A J0007091 IEF450I P3OLOG IOS080I - ABEND=S222 U0000 REASON=00000000,4,-1.026487917,0.997024964,325.1994902
"14.35.07 CP3B S0122313 _CSQX208E !QP1X CSQXRESP Error receiving data, channel GTSAMER.BOCSAMER.CHL connection 21.125.48.104 - [queue manager QMgrGtsCom] - TRPTYPE=TCP RC=00000480 reason=00000000",4,-1.025269523,0.996766266,299.9639159
09.39.23 CP3D S0192570 DNQK1006E 2018-05-04 01:39:23 BOCOUA Message \30462744\ was backed out.,4,-1.02520097,0.996636916,288.7599867
09.52.15 CP3A J0007102 IEF450I P3OLOG IOS080I - ABEND=S222 U0000 REASON=00000000,4,-1.024826141,0.996378218,268.6884625
23.13.29 CP1C S0136289 BCTRNCLASS0 SEV=WAR CIP1KA41 ClassName: TCLB3E1 [PurgeTotal >= 5],4,-1.024783992,0.996248868,259.6639248
15.34.13 CP1E S0021523 BQBANCBGLS0 SEV=WAR QP11 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:20126 [CurrentDepth >= 20000] 请关注BGL队列深度变化，加强监控,4,-1.02439915,0.996119519,251.2259083
10.44.20 CP1D J0090268 *IEF099I JOB G00S007B WAITING FOR DATA SETS EA5570 (/tapelibPRODHSH/DD1_POOL11_FS1/EA5570) mounted (File-Protect),2,-1.023694362,0.99586082,235.8946819
"17.07.08 CP3D S0128287 _CSQX208E !QP2S CSQXRESP Error receiving data, channel SAGLDD.QP0S connection [21.233.1.114] - [queue manager QP0S] - TRPTYPE=TCP RC=00000461 [ECONNRESET] reason=76650446",4,-1.023468064,0.995731471,228.9099905
17.47.49 CP1E S0021523 BQBANCBGLS0 SEV=WAR QP31 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:30288 (CurrentDepth >= 20000) 请关注BGL队列深度变化，加强监控,4,-1.023181091,0.995602121,222.3270287
21.13.14 CP1E J0028765 _DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB DP01_TO_EVENP_HS]. The handling of rows that are added or - changed depends on the type of DB2 utility that performed the - data changes and whether the Q subsc,4,-1.022962536,0.995472772,216.1121066
