id,summary
51401,00.04.55 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D5580C79BF54 = 135340 -
22222,22.10.15 CP1C S0174939 *1900 @SLS6699E MVC SPACE CRITICAL - PLEASE ADD * MORE MVCS TO MVCPOOL ZJPOOL AND REPLY R TO RETRY?
51402,01.40.30 CP1C J0049304 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS
51403,01.34.56 CP2A J0152186 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS
51404,"01.22.19 CP2D           IOS080I 47B1,9A,TMGL5100, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.GLXX.TPGL0027.PR5100.T00"
51405,01.05.03 CP3B J0065237 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
51406,01.05.01 CP1E J0048538 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
51407,"02.12.58 CP2A           IOS080I 4BFB,A5,C404132C, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2041.A3212"
51408,02.07.17 CP1E J0053395 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
51409,03.08.07 CP1E J0063750 *IEF099I JOB G01S506B WAITING FOR DATA SETS
51410,03.07.01 CP1D S0178019  _CSQX599E !MQ2A CSQXRESP Channel PRM.MER.ISTCONN ended abnormally connection 21.123.107.142 -  BEEN - RUNNING FOR 105 MINUTES -            CORRELATION NAME=ENTRPYMV0033 -            CONNECTION ID=CIP1KA32 -
51411,"03.07.01 CP1D S0178019  +CSQX209E !MQ2A CSQXRESP Connection unexpectedly terminated, channel PRM.MER.ISTCONN -  connection 21.123.107.142 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000"
51412,04.32.13 CP3D J0088279 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS
51413,04.31.50 CP3D J0088216 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS
51414,"04.07.16 CP2C           IOS080I 4CE4,70,AM300026, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.TEMP.AM202663.S01"
