id,sysname,hostname,firstoccurredtime,lastoccurredtime,compressedtime,summary,severity,riskratio
50775,P3,zos,2018/12/2 0:53,2018/12/2 0:53,10,"00.54.37 CP3C S0048456  +CSQX209E !QP1S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50775,P3,zos,2018/12/2 0:53,2018/12/2 0:53,10,"XRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
22222,P3,zos,2018/12/2 0:53,2018/12/2 0:53,,22.10.15 CP1C S0174939 *1900 @SLS6699E MVC SPACE CRITICAL - PLEASE ADD * MORE MVCS TO MVCPOOL ZJPOOL AND REPLY R TO RETRY?,2,99999
50776,P3,zos,2018/12/2 0:53,2018/12/2 0:53,8,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50777,P3,zos,2018/12/2 0:53,2018/12/2 0:53,4,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  TRPTYPE=TCP RC=00000000",2,99999
50778,P3,zos,2018/12/2 0:53,2018/12/2 0:53,2,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000 -  longer active",2,99999
50779,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3C S0048456  +CSQX209E !QP1S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000 -  longer active",2,99999
50780,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3C S0048456  +CSQX209E !QP1S CSQXRESP Connection unexpectedly terminated, connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50781,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000 FROM S0142753 TPZ3",2,99999
50782,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3C S0048456  +CSQX209E !QP1S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.4 -  (queue manager QP0S)",2,99999
50783,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3C S0048456  +CSQX209E !QP1S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50784,P3,zos,2018/12/2 0:53,2018/12/2 0:53,6,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.3 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50785,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, connection 21.125.2.3 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50786,P3,zos,2018/12/2 0:53,2018/12/2 0:53,2,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  connection 21.125.2.3 -  TRPTYPE=TCP RC=00000000",2,99999
50787,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, channel SWIFTI.QP0S -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50788,P3,zos,2018/12/2 0:53,2018/12/2 0:53,1,"00.54.37 CP3D S0048789  +CSQX209E !QP2S CSQXRESP Connection unexpectedly terminated, connection 21.125.2.4 -  (queue manager QP0S) -  TRPTYPE=TCP RC=00000000",2,99999
50790,P1,zos,2018/12/2 0:21,2018/12/2 0:21,2,00.22.48 CP1C S0129908  BCTASKCSKLS0 SEV=CRI ALL Tranid: CSKL (Count < 10),3,99999
50791,P1,zos,2018/12/2 0:21,2018/12/2 0:21,1,00.22.27 CP1D S0178021  +DFHDB2025I CIP1GA21                            C 12/02/2018 00:22:27 CIP1GA21 The CICS-DB2 attachment has disconnected from DB2 subsystem DP2C group DP0C,4,99999
50792,P1,zos,2018/12/2 0:21,2018/12/2 0:21,1,00.22.27 CP1C S0177167  +DFHDB2025I CIP1GA11                            C 12/02/2018 00:22:27 CIP1GA11 The CICS-DB2 attachment has disconnected from DB2 subsystem DP1C group DP0C,4,99999
50793,P1,zos,2018/12/2 0:08,2018/12/2 0:19,11,00.20.40 CP1E S0177454  +CSQX599E !QWP2 CSQXRCTL Channel WBIFNBJ.WBIFNHK.CHL ended abnormally,3,99999
50794,P1,zos,2018/12/2 0:15,2018/12/2 0:15,2,"00.17.09 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000",2,99999
50795,P1,zos,2018/12/2 0:14,2018/12/2 0:14,1,"00.15.42 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000",2,99999
50796,P1,zos,2018/12/2 0:11,2018/12/2 0:11,1,"00.12.46 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000",2,99999
50797,P1,zos,2018/12/2 0:10,2018/12/2 0:10,1,"00.11.19 CP1E S0177454  +CSQX209E !QWP2 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000",2,99999
50798,P1,zos,2018/12/2 0:08,2018/12/2 0:08,2,"00.09.51 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager ????) -  TRPTYPE=TCP RC=00000000",2,99999
50799,P1,zos,2018/12/2 0:08,2018/12/2 0:08,2,"00.09.41 CP1D S0178013  +CSQX209E !QWP1 CSQXRCTL Connection unexpectedly terminated, channel WBIFNBJ.WBIFNHK.CHL -  connection 21.238.3.93 -  (queue manager WBNPG02) -  TRPTYPE=TCP RC=00000000",2,99999
50800,P1,zos,2018/12/2 0:05,2018/12/2 0:05,2,00.07.10 CP1D S0178013  +CSQX599E !QWP1 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL2 ended abnormally connection 21.238.3.93,3,99999
50801,P1,zos,2018/12/2 0:04,2018/12/2 0:04,1,00.05.39 CP1E S0177454  +CSQX599E !QWP2 CSQXRESP Channel WBIFNHK.WBIFNBJ.CHL1 ended abnormally connection 21.238.3.92,3,99999
50807,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.30 CP1C S0177155  +CSQX209E !MQ1A CSQXRESP Connection unexpectedly terminated, 00-  channel CH.WCB.SVRCONN -  connection 21.123.56.86 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000 -  channel CH.WCB.SVRCONN -  connection",2,99999
50808,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.30 CP1E S0177455  +CSQX209E !MQ3A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.86 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50809,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.30 CP1C S0177155  +CSQX209E !MQ1A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.86 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50810,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.27 CP1F S0178071  +CSQX209E !MQ4A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.143 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50811,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.29 CP1F S0178071  +CSQX209E !MQ4A CSQXRESP Connection unexpectedly terminated, 00-  channel CH.WCB.SVRCONN -  connection 21.123.56.142 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50812,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.29 CP1E S0177455  +CSQX209E !MQ3A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.142 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50813,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.25 CP1C S0177155  +CSQX209E !MQ1A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.87 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000 -   PU GEN NOT SUPPORTED",2,99999
50814,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.27 CP1C S0177155  +CSQX209E !MQ1A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.143 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50815,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.27 CP1D S0178019  +CSQX209E !MQ2A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.143 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50816,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.29 CP1D S0178019  +CSQX209E !MQ2A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.142 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50817,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.25 CP1D S0178019  +CSQX209E !MQ2A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.87 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50818,P1,zos,2018/12/2 1:12,2018/12/2 1:12,1,"01.13.25 CP1E S0177455  +CSQX209E !MQ3A CSQXRESP Connection unexpectedly terminated, channel CH.WCB.SVRCONN -  connection 21.123.56.87 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
50824,P1,zos,2018/12/2 2:21,2018/12/2 2:21,1,"02.22.09 CP1E S0177455  +CSQX209E !MQ3A CSQXRESP Connection unexpectedly terminated, channel BCSS.TO.EACQ -  connection 21.123.51.138 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",2,99999
