id,summary,risk,category,keys
51401,00.04.55 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D5580C79BF54 = 135340 -,1+,9,d5580c79bf54 s0129621 dp51appl me980000 db2call dp51 after checkpoints uncommitted dsnr035i
51402,01.40.30 CP1C J0049304 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,1+,3,j0049304 p1zosdl cp1c 01 waiting ief099i sets job data for
51403,01.34.56 CP2A J0152186 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,1+,3,j0152186 tmz60000 cp2a 01 ief099i sets waiting job data for
53416,"*22.58.56          *IEA480E 226E,SCU,MODERATE ALERT,MT=2107,SER=0385-51965, *REFCODE=CF12-16E0-0F56,SENSE=00901000 003C8F79 11500016 E00F560D *0500CAFD B808CF12 05104E03 F1000000",1000+,1,e03 f56 51965 226 b808cf12 cf12 cafd e00f560d c8f79 05104
51405,01.05.03 CP3B J0065237 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,1+,3,j0065237 smfmrgci cp3b 01 sets waiting ief099i job data for
51406,01.05.01 CP1E J0048538 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,1+,3,j0048538 smfmrgci cp1e 01 ief099i sets waiting job data for
53476,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201494</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:06:13.22085972.1217069Z</",1000+,1,swint waitreference sendreferenceval 22085972 201494 1217069 t16 snl53057 waitresponse swiftrequestref
51408,02.07.17 CP1E J0053395 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,1+,3,j0053395 p1cicsdl cp1e 02 waiting ief099i sets job data for
51409,03.08.07 CP1E J0063750 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1+,3,j0063750 g01s506b cp1e 03 waiting ief099i sets job data for
53477,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201705</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:05:10.23462330.1221562Z</",1000+,1,swint sendreferenceval waitreference 1221562 201705 23462330 swiftnet swiftrequestref xml t16
56771,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201494</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:06:13.22085972.1217069Z</",1000+,1,swint waitreference sendreferenceval 22085972 201494 1217069 t16 snl53057 waitresponse swiftrequestref
51412,04.32.13 CP3D J0088279 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS,1+,3,j0088279 dedpg1s5 cp3d 04 ief099i sets waiting job data for
51413,04.31.50 CP3D J0088216 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,1+,3,j0088216 dedpdeu4 cp3d 04 sets waiting ief099i job data for
