id,summary,risk,category,keys
51401,00.04.55 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D5580C79BF54 = 135340 -,1+,5,135340 s0129621 bochqpdp51appld5580c79bf54 me980000 db2call dp51 ur luwid warning checkpoints
22222,22.10.15 CP1C S0174939 *1900 @SLS6699E MVC SPACE CRITICAL - PLEASE ADD * MORE MVCS TO MVCPOOL ZJPOOL AND REPLY R TO RETRY?,100+,5,to more retry s0174939 zjpool please sls6699e 1900 mvcpool mvcs
51402,01.40.30 CP1C J0049304 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,1+,8,j0049304 p1zosdl cp1c sets waiting ief099i job data for j0067987
51403,01.34.56 CP2A J0152186 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,1+,8,j0152186 tmz60000 cp2a waiting sets ief099i job data for j0070666
51404,"01.22.19 CP2D           IOS080I 47B1,9A,TMGL5100, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.GLXX.TPGL0027.PR5100.T00",10+,5,prddedprsplitglxxtpglprt00 tmgl5100 b1 dataset ios080i interval exceeded an request been
51405,01.05.03 CP3B J0065237 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,1+,8,j0065237 smfmrgci cp3b sets waiting ief099i job data for j0068247
51406,01.05.01 CP1E J0048538 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,1+,8,j0048538 smfmrgci cp1e waiting ief099i sets job data for 00
51407,"02.12.58 CP2A           IOS080I 4BFB,A5,C404132C, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2041.A3212",10+,5,c404132c prdc64rlveqetetqda3212 bfb a5 cp2a dataset interval ios080i exceeded an
51408,02.07.17 CP1E J0053395 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,1+,8,j0053395 p1cicsdl cp1e sets ief099i waiting job data for j0067756
51409,03.08.07 CP1E J0063750 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1+,8,j0063750 g01s506b cp1e ief099i waiting sets job data for j0068204
51410,03.07.01 CP1D S0178019  _CSQX599E !MQ2A CSQXRESP Channel PRM.MER.ISTCONN ended abnormally connection 21.123.107.142 -  BEEN - RUNNING FOR 105 MINUTES -            CORRELATION NAME=ENTRPYMV0033 -            CONNECTION ID=CIP1KA32 -,1+,5,entrpymv0033 s0178019 minutes 105 cip1ka32 prmmeristconn mq2a connection2 running been
51411,"03.07.01 CP1D S0178019  +CSQX209E !MQ2A CSQXRESP Connection unexpectedly terminated, channel PRM.MER.ISTCONN -  connection 21.123.107.142 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000000",1+,5,s0178019 prmmeristconn mq2a connection2 mqga 00000000 csqx209e unexpectedly terminated manager
51412,04.32.13 CP3D J0088279 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS,1+,8,j0088279 dedpg1s5 cp3d waiting ief099i sets job data for j0068538
51413,04.31.50 CP3D J0088216 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,1+,8,j0088216 dedpdeu4 cp3d waiting ief099i sets job data for j0067756
51414,"04.07.16 CP2C           IOS080I 4CE4,70,AM300026, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.TEMP.AM202663.S01",10+,5,ce4 am300026 70 prdc64rlveqtempams01 dataset interval ios080i exceeded an request
51415,05.28.18 CP1D J0066749 *IEF099I JOB A01S766B WAITING FOR DATA SETS,1+,8,j0066749 a01s766b cp1d waiting ief099i sets job data for j0068539
51416,*05.16.59 CP1C J0066611 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1+,8,j0066611 axbkout cp1c waiting ief099i sets job data for j0068251
51417,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 22 DATASETS(MAX 32) SYSJOB,1+,9,j0066319 tssafe cp1f 22 bancs max segment datasets has sysjob
51418,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB,1+,9,j0066319 tsspyo cp1f bancs datasets max segment has sysjob big
51419,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0066319 tslmvu cp1f bancs max segment datasets has sysjob ts
51420,05.06.51 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 71.6% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51421,05.06.50 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 80.6% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51422,05.06.49 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 77.3% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51423,05.06.48 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 74.7% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51424,05.06.47 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51425,05.06.48 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.6% INUSE SYSJOB,1+,3,j0066319 cp1f tsgect inuse part partition bancs sysjob big ts
51426,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0066379 cgen050p cp1e eiss segment max datasets has sysjob dba
51427,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB,1+,9,j0066379 cgen245p 24 cp1e eiss segment datasets max has sysjob
51428,05.04.13 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1+,9,j0066379 cgen246p cp1e 21 eiss segment datasets max has sysjob
51429,05.04.13 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB,1+,9,j0066379 cgen263p 22 cp1e eiss segment datasets max has sysjob
51430,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0066379 cgen048p cp1e eiss segment max datasets has sysjob dba
51431,06.55.30 CP1C J0067756 *IEF099I JOB G00S077B WAITING FOR DATA SETS,1+,8,j0067756 g00s077b cp1c waiting ief099i sets job data for j0068976
51432,07.30.12 CP1C J0068251 *IEF099I JOB G01S260B WAITING FOR DATA SETS,1+,8,j0068251 g01s260b cp1c sets waiting ief099i job data for j0068538
51433,07.30.05 CP1D J0068247 *IEF099I JOB G01S192B WAITING FOR DATA SETS,1+,8,j0068247 g01s192b cp1d ief099i sets waiting job data for j0068976
51434,08.06.28 CP2D S0044205  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12),1+,2,s0044205 extents sysmlibparmlib exts bsoextpdss0 set 16 cp2c cp2d war
51435,"10.25.03 CP1D J0070666 *IEF099I JOB G02S121B WAITING FOR DATA SETS Scratch of volume WP5208 requested by host via device 02AD, dsn='TXNH.CA160117.H20'",100+,5,wp5208 j0070666 ad g02s121b txnhcah20 via scratch requested host dsn
51436,11.28.24 CP3D S0059824 *DSNB319A  -DP2Y DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP0,10+,5,gbp0 s0059824 dp2y dsnb319a dsnb1cne there shortage pool space buffer
51437,11.06.49 CP1F S0129634  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000102 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP41APPL.D558A2C68DCF = 131274 -           P,1+,5,131274 s0129634 bochqpdp41appld558a2c68dcf tf000102 dp41 batch ur warning luwid checkpoints
