messageid,summary,risk,category
E2E,"E2E:2018-08-23 04:01:51,980 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:02:50,234 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:01:57,135 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:02:02,196 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:02:18,335 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:02:47,209 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:50,231 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:03:02,199 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:47,206 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:21,978 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:02:18,537 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:01:48,536 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:18,534 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:02:48,336 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:20,230 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:02:21,981 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:17,205 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:02:51,983 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:02:20,233 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:02:17,208 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:18,332 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:01:27,133 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:48,530 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:00:18,532 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:00:27,126 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:00:51,977 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:20,224 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:17,199 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:50,226 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:00:21,975 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:21,972 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:00:20,227 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:00:57,131 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:51,974 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 03:59:18,528 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 03:59:57,124 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",4.0,6
E2E,"E2E:2018-08-23 04:00:18,329 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",2.0,6
E2E,"E2E:2018-08-23 04:00:32,190 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:00:47,203 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:00:17,202 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:00:48,533 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 04:01:02,192 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
E2E,"E2E:2018-08-23 03:59:27,123 ERROR [com.e2e.dc.service.impl.SendEventImpl] - Connect Failed",3.0,6
