id,risk,category,keys
50561,1+,4,j0122972 tssafe cp1f max datasets segment 32 has bancs 21
50562,1+,4,j0122972 tslmvu cp1f max datasets segment 32 has bancs 21
50563,1+,4,j0122972 tsspyo cp1f max datasets segment 32 has bancs 21
50564,1+,1,j0122972 70 tsgect cp1f part inuse partition bancs 21 big
50565,1+,1,j0122972 72 tsgect cp1f part inuse partition bancs 21 big
50566,1+,1,j0122972 78 tsgect cp1f inuse part partition bancs 21 ts
50567,1+,1,j0122972 77 tsgect cp1f inuse part partition bancs 21 dba
50568,1+,1,j0122972 71 tsgect cp1f part inuse partition bancs 21 big
50569,1+,5,j0123048 na100006 cp1f sets waiting ief099i job data for 21
50570,1+,4,j0122933 cgen245p cp1f eiss max datasets segment 32 has 21
50571,1+,4,j0122933 cgen263p eiss cp1f datasets segment max 32 has 21
50572,1+,4,j0122933 cgen246p cp1f eiss max datasets segment 32 has 21
50573,1+,4,j0122933 cgen050p cp1f eiss max datasets segment 32 has 21
50574,100+,6,00000018 bszbase dp1z dsnugrar resource dsnt500i s0005755 c90088 unavailable type
50575,1+,5,j0134179 g01s663b 23 cp1e sets ief099i waiting job data for
50576,1+,5,j0129294 ec046200 23 cp1d waiting ief099i sets job data for
50577,1+,5,j0138187 g01s506b 00 cp1c waiting ief099i sets job data for
50578,10+,6,ul460009 unlo uu460009 cus1 cfb a5 prddedpr dataset cp2a interval
50579,1+,5,j0135720 sa060000 00 cp1d waiting ief099i sets job data for
50580,10+,6,aa s0065864 required intervention ios003a 24 cp2d 00 j0166664 j0166105
50581,10+,6,ab s0065864 required intervention ios003a 24 cp2d 00 j0166664 j0166105
50582,10+,6,e13 s0065864 intervention required ios003a cp2d 00 j0192688 j0165994 j0161454
50583,10+,6,aa s0065864 required intervention ios003a 24 cp2d 00 j0166664 j0166105
50584,10+,6,e14 s0065864 intervention required ios003a cp2d 00 j0192688 j0165994 j0161454
50585,1+,5,j0135356 g01s023b 00 cp1e sets waiting ief099i job data for
50586,1+,5,j0128730 tmz60000 cp2d sets waiting ief099i job data for 01
50587,1+,5,j0140630 p1zosdl cp1c waiting ief099i sets job data for 01
50588,10+,6,s0129634 gbp3 dp41 dsnb319a dsnb1cne shortage there space pool in
50589,1+,5,j0044851 november thursday 29 smfmrgci cp3b waiting ief099i sets job
50590,1+,5,j0139692 smfmrgci cp1e waiting sets ief099i job data for 01
50591,1+,5,j0056558 dedplk31 cp3a 02 sets waiting ief099i job data for
50592,1+,5,j0050651 rmfrptd3 cp3b 02 sets waiting ief099i job data for
50593,1+,5,j0141139 p1cicsdl cp1e 02 waiting ief099i sets job data for
50594,10+,6,gbp3 s0129637 dp81 dsnb319a dsnb1cne shortage there space pool in
50595,10+,6,size h14 bsdb2qbszs0 ca181128 bn setname alloc kb imgcp 70000000
50596,1+,5,j0159538 c4card00 cp2d 03 ief099i waiting sets job data for
50597,1+,5,j0068418 dedpdes5 cp3d 04 waiting ief099i sets job data for
50598,1+,5,j0068405 dedpdeu4 cp3c 04 waiting ief099i sets job data for
50599,10+,6,structure in f43e8594 d53f0745 dsndp0z bcc2c5 90 usage threshold above
50600,10+,6,dp2z s0006883 dsnb325a critical gbp32k1 dsnb1cne shortage there space pool
50601,1+,5,j0158689 a01m9258 cp1e sets ief099i waiting job 05 data for
50602,100+,6,wbicron2 id asid wbicron rrsaf tcb j0158548 fb user a01s766b
50603,1+,5,j0158482 axbkout cp1e waiting ief099i sets job 05 data for
50604,1+,4,j0158023 tssafe cp1c datasets segment max 32 05 has bancs
50605,1+,4,j0158023 tslmvu cp1c datasets segment max 32 05 has bancs
50606,1+,4,j0158023 tsspyo cp1c datasets segment max 32 05 has bancs
50607,1+,1,j0158023 72 tsgect cp1c inuse part partition 05 bancs ts
50608,1+,1,j0158023 71 tsgect cp1c inuse part partition 05 bancs ts
50609,1+,1,j0158023 78 tsgect cp1c inuse part partition 05 bancs sysjob
50610,1+,1,j0158023 70 tsgect cp1c inuse part partition 05 bancs ts
50611,1+,1,j0158023 77 inuse part 72 tsgect cp1c partition 05 bancs
50612,1+,4,j0158099 cgen245p eiss cp1d datasets segment max 32 05 has
50613,1+,4,j0158099 cgen246p eiss cp1d datasets segment max 32 05 has
50614,1+,4,j0158099 cgen263p eiss cp1d datasets segment max 32 05 has
50615,1+,4,j0158099 cgen050p eiss cp1d datasets segment max 32 05 has
50616,1+,6,s0129911 parmlib sys0 mlib extents exts bsoextpdss0 set cp1b 07
50617,1+,6,s0044205 parmlib mlib sys0 bsoextpdss0 extents exts set cp2c cp2d
50618,100+,6,id xxn2911s d54d4d8 s0119535 dsn32k01 a002 d70002 dp71work dsndbd dsndp01s
50619,1+,5,j0166956 g01s583b 10 cp1f ief099i waiting sets job data for
50620,1+,5,j0166664 qxccdbin 10 cp1e waiting ief099i sets job data for
50621,10+,8,d54d68d57451 tf000602 pl dp81appl s0129637 dp81 batch luwid checkpoints uncommitted
50622,10+,6,previous the d54d6492e21c000000 nov gbp34 s0126467 dp11 exist dsnb356i currently
50623,1+,5,j0009986 g01s583b 18 cp1f sets waiting ief099i job data for
50624,1+,4,j0013954 tslmvu cp1f datasets segment max 32 has bancs 21
50625,1+,4,j0013954 tssafe cp1f datasets segment max 32 has bancs 21
50626,1+,4,j0013954 tsspyo cp1f datasets segment max 32 has bancs 21
50627,1+,1,j0013954 72 tsgect cp1f inuse part partition bancs 21 dba
50628,1+,1,j0013954 70 tsgect cp1f inuse part partition bancs 21 dba
50629,1+,1,j0013954 73 tsgect cp1f inuse part partition bancs 21 ts
50630,1+,1,j0013954 78 tsgect cp1f inuse part partition bancs 21 ts
50631,1+,1,j0013954 77 tsgect cp1f inuse part partition bancs 21 dba
50632,1+,5,j0014024 na100009 cp1f ief099i waiting sets job data for 21
