id,summary,key
50561,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 21 DATASETS(MAX 32) SYSJOB,j0122972 tssafe 21 39 cp1f 14 datasets segment max has
50562,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB,j0122972 tslmvu 39 cp1f 14 max segment datasets has bancs
50563,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB,j0122972 tsspyo 39 cp1f 14 segment max datasets has bancs
50564,21.13.25 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.1% INUSE SYSJOB,j0122972 252 70 13 tsgect cp1f part inuse partition bancs
50565,21.13.23 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 72.9% INUSE SYSJOB,j0122972 72 126 23 13 tsgect cp1f part inuse partition
50566,21.13.24 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 78.6% INUSE SYSJOB,j0122972 78 251 24 13 tsgect cp1f part inuse partition
50567,21.13.23 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.4% INUSE SYSJOB,j0122972 77 98 23 13 tsgect cp1f inuse part partition
50568,21.13.24 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 71.5% INUSE SYSJOB,j0122972 71 159 24 13 tsgect cp1f part inuse partition
50569,21.12.50 CP1F J0123048 *IEF099I JOB NA100006 WAITING FOR DATA SETS,j0123048 na100006 50 cp1f ief099i sets waiting job data for
50570,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 23 DATASETS(MAX 32) SYSJOB,j0122933 cgen245p 23 cp1f eiss segment datasets max has 04
50571,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB,j0122933 cgen263p 22 eiss cp1f segment max datasets has 04
50572,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,j0122933 cgen246p 21 eiss cp1f datasets segment max has 04
50573,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,j0122933 cgen050p eiss cp1f max datasets segment has 04 ts
50574,22.01.32 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,bszbase 00000018 00002102 dsnt500i c90088 s0005755 resource dp1z unavailable dsnugrar
50575,23.36.08 CP1E J0134179 *IEF099I JOB G01S663B WAITING FOR DATA SETS,j0134179 g01s663b 36 23 08 cp1e sets waiting ief099i job
50576,23.09.10 CP1D J0129294 *IEF099I JOB EC046200 WAITING FOR DATA SETS,j0129294 ec046200 23 09 10 cp1d waiting ief099i sets job
50577,00.57.41 CP1C J0138187 *IEF099I JOB G01S506B WAITING FOR DATA SETS,j0138187 g01s506b 41 57 cp1c 00 ief099i sets waiting job
50578,".56.18 CP2A           IOS080I 4CFB,A5,UL460009, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.CUS1.UU460009",unlo uu460009 ul460009 cus1 cfb a5 prddedpr dataset cp2a ios080i
50579,00.51.04 CP1D J0135720 *IEF099I JOB SA060000 WAITING FOR DATA SETS,j0135720 sa060000 51 cp1d 00 ief099i waiting sets job data
50580,"00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED",aa s0065864 intervention required ios003a cp2d 24 40 00 03
50581,"00.40.03 CP2D S0065864 *IOS003A 24AB,INTERVENTION REQUIRED",ab s0065864 ios003a intervention required cp2d 24 40 00 03
50582,"00.40.02 CP2D S0065864 *IOS003A 1E13,INTERVENTION REQUIRED",e13 s0065864 ios003a intervention required cp2d 40 00 02 j0070666
50583,"*00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED",aa s0065864 intervention required ios003a cp2d 24 40 00 03
50584,"00.40.02 CP2D S0065864 *IOS003A 1E14,INTERVENTION REQUIRED",e14 s0065864 ios003a intervention required cp2d 40 00 02 j0070666
50585,00.26.53 CP1E J0135356 *IEF099I JOB G01S023B WAITING FOR DATA SETS,j0135356 g01s023b 53 26 cp1e 00 sets waiting ief099i job
50586,01.44.27 CP2D J0128730 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,j0128730 tmz60000 27 cp2d 44 sets ief099i waiting job data
