,id,summary,risk,category
0,50561,,1+,9
1,50562,,1+,9
2,50563,,1+,9
3,50564,,1+,2
4,50565,,1+,2
5,50566,,1+,2
6,50567,,1+,2
7,50568,,1+,2
8,50569,,1+,8
9,50570,,1+,9
10,50571,,1+,9
11,50572,,1+,9
12,50573,,1+,9
13,50574,,10+,0
14,50575,,1+,8
15,50576,,1+,8
16,50577,,1+,8
17,50578,,10+,0
18,50579,,1+,8
19,50580,,10+,0
20,50581,,10+,0
21,50582,,10+,0
22,50583,,10+,0
23,50584,,10+,0
24,50585,,1+,8
25,50586,,1+,8
26,50587,,1+,8
27,50588,,10+,0
28,50589,,1+,8
29,50590,,1+,8
30,50591,,1+,8
31,50592,,1+,8
32,50593,,1+,8
33,50594,,10+,0
34,50595,,10+,0
35,50596,,1+,8
36,50597,,1+,8
37,50598,,1+,8
38,50599,,10+,0
39,50600,,10+,0
40,50601,,1+,8
41,50602,,100+,0
42,50603,,1+,8
43,50604,,1+,9
44,50605,,1+,9
45,50606,,1+,9
46,50607,,1+,2
47,50608,,1+,2
48,50609,,1+,2
49,50610,,1+,2
50,50611,,1+,2
51,50612,,1+,9
52,50613,,1+,9
53,50614,,1+,9
54,50615,,1+,9
55,50616,,10+,3
56,50617,,1+,3
57,50618,,100+,0
58,50619,,1+,8
59,50620,,1+,8
60,50621,,10+,5
61,50622,,10+,0
62,50623,,1+,8
63,50624,,1+,9
64,50625,,1+,9
65,50626,,1+,9
66,50627,,1+,2
67,50628,,1+,2
68,50629,,1+,2
69,50630,,1+,2
70,50631,,1+,2
71,50632,,1+,8
72,50633,,1+,9
73,50634,,1+,9
74,50635,,1+,9
75,50636,,1+,9
76,50637,,10+,0
77,50638,,10+,0
78,50639,,1+,8
79,50640,,1+,8
80,50641,,10+,0
81,50642,,1+,8
82,50643,,1+,8
83,50644,,1+,5
84,50645,,100+,0
85,50646,,1+,8
86,50647,,1+,8
87,50648,,10+,0
88,50649,,1+,8
89,50650,,1+,8
90,50651,,1+,8
91,50652,,1+,8
92,50653,,1+,8
93,50654,,10+,0
94,50655,,1+,8
95,50656,,10+,0
96,50657,,10+,0
97,50658,,10+,0
98,50659,,1+,8
99,50660,,1+,9
100,50661,,1+,9
101,50662,,1+,9
102,50663,,1+,2
103,50664,,1+,2
104,50665,,1+,9
105,50666,,1+,2
106,50667,,1+,2
107,50668,,1+,9
108,50669,,1+,9
109,50670,,1+,9
110,50671,,1+,2
111,50672,,1+,2
112,50673,,10+,0
113,50674,,10+,0
114,50675,,10+,0
115,50676,,10+,0
116,50677,,10+,0
117,50678,,1+,3
118,50679,,10+,0
119,50680,,1+,8
120,50681,,1+,0
121,50682,,1+,5
122,50683,,1+,0
123,50684,,1+,0
124,50685,,1+,0
125,50686,,1+,0
126,50687,,1+,0
127,50688,,1+,0
128,50689,,1+,8
129,50690,,1+,0
130,50691,,1+,0
131,50692,,1+,0
132,50693,,1+,9
133,50694,,1+,9
134,50695,,1+,9
135,50696,,1+,2
136,50697,,1+,2
137,50698,,1+,2
138,50699,,1+,2
139,50700,,1+,2
140,50701,,1+,8
141,50702,,1+,9
142,50703,,1+,9
143,50704,,1+,9
144,50705,,1+,9
145,50706,,1+,0
