,summary,risk
0,".38.12 CP2B           IOS080I 23FC,**,UL863601, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.INVE.UU863601",52.0
1,00.56.41 CP1F S0124251  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP41APPL.D4EE7AA612B6 = 18112 -,121.0
2,01.00.06 CP3D J0191866 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3.0
3,01.05.03 CP1D J0110559 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS,3.0
4,01.05.03 CP3B J0192995 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
5,01.05.04 CP1E J0110560 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
6,01.11.15 CP2C J0028425 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3.0
7,01.24.44 CP1D S0124248 *DSNB319A  -DP21 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP3,68.0
8,01.44.30 CP1C J0111332 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3.0
9,02.00.01 CP1C J0111538 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,3.0
10,02.00.03 CP3A J0003273 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3.0
11,02.15.03 CP3A J0005576 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3.0
12,02.36.20 CP1E J0123486 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3.0
13,02.52.16 CP2D J0056851 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,3.0
14,05.01.46 CP3A J0020717  +DBA:BOCSZ BIG PARTITION TS FOUND!TSINXH PART 25 84.2% INUSE SYSJOB,51.0
15,05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0
16,05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.0% INUSE SYSJOB,3.0
17,14  05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0
18,23  05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 74.4% INUSE SYSJOB,3.0
19,05.04.05 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2.0
20,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
21,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
22,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
23,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0
24,05.04.08 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
25,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0
26,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0
27,05.42.03 CP1D J0129728 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,3.0
28,05.55.06 CP1C J0129974 *IEF099I JOB A01S804B WAITING FOR DATA SETS,3.0
29,06.12.10 CP1D J0130208 *IEF099I JOB A01M9251 WAITING FOR DATA SETS,3.0
30,06.12.10 CP1E J0130210 *IEF099I JOB A01M9259 WAITING FOR DATA SETS,3.0
31,07.40.24 CP3D S0098408  BSOEXTSPSS1 SEV=WAR CP3D Data Set: OPERZ.TWZP.APALL.D180905 EXTENTS = 11 (Exts > 10),3.0
32,07.46.13 CP1D S0041765  BSOEXTPDSS0 SEV=WAR CP1B Data Set: BOCBMC.MV.UBBPARM EXTENTS = 13 (Exts > 12),16.0
33,08.06.31 CP2D S0189174  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 15 (Exts > 12),4.0
34,12.26.14 CP1E S0124257  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200008 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP71APPL.D4EF166DF273 = 66943 -,100.0
35,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
36,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
37,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0
38,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
39,03  21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
40,21.11.41 CP1F J0148536 *IEF099I JOB NA100006 WAITING FOR DATA SETS,3.0
41,21.14.01 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0
42,21.14.02 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0
43,21.14.02 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.5% INUSE SYSJOB,3.0
44,21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB,3.0
45,21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
46,"21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.CPTL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NCPTL"" - (receive queue ""QR.NI.SENDQ1.QPS1",900.0
47,02  21.14.01 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2.0
48,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0
49,21.14.52 CP1E J0148460  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0
50,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3A ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),4.0
51,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3D ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),4.0
52,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3B ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),5.0
53,23.54.21 CP3C S0098409  BZZFSUSGES0 SEV=WAR CP3C ZFS Name: FTM300.OMVS.VAR.ZFS USE%: 84.48 (Usg% >= 80),5.0
54,"00.14.45 CP3D          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D3C58F3C 401E00D5, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 85%: *   SPACE USAGE     IN-USE       T",86.0
55,".54.31 CP2C           IOS080I 15BA,BC,UPA65102, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",52.0
56,01.00.07 CP3D J0102264 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3.0
57,01.05.02 CP3B J0103459 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
58,01.05.03 CP1E J0160561 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0
59,01.06.15 CP2D J0096036 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3.0
60,"01.20.35 CP1D S0002847  DNFO1033E 2018-09-15 17:20:35 BOCOU01 DNF_O_FT SAG returned error information with the following parameters: -  Code    : 'Sw.Sec.HSMContextLost' -  Text    : 'Security context has become invalid., DN=cn=fi",441.0
61,01.20.54 CP1E S0002842  DNFO1005E 2018-09-15 17:20:53 BOCOU01 DNF_O_FT SAG reported an error with the following parameters: -  Severity    : 'Transient' -  Code        : 'Sw.Req.DirectoryConnection' -  Parameter   : 'Level=1' -  T,298.0
62,01.43.15 CP1C J0164025 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3.0
63,01.56.30 CP1D J0165094 *IEF099I JOB G01S506B WAITING FOR DATA SETS,3.0
64,02.00.02 CP3A J0114241 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3.0
65,02.01.09 CP1F S0124262  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D4EFCA25B9AE = 42295 -,109.0
66,02.15.03 CP3B J0116231 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3.0
67,02.35.20 CP1E J0166978 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3.0
68,05.03.32 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,3.0
69,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB,3.0
70,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0
71,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.6% INUSE SYSJOB,3.0
72,05.03.33 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0
73,05.03.34 CP1F J0182167  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0
74,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
75,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0
76,05.04.11 CP1E J0182227  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0
