id,summary
1,05.40.03 CP1E S0142810  DNFO1005E 2018-02-16 21:40:03 BOCOU01 DNF_O_FT 31323031383032406971267 3917820211499929428100585.937  SAG reported an error with the - following parameters: -  Severity    : \Transient\ -  Code        : \Sw
4,07- 17.27.25 CP1D S0010098  DSNT375I  -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER -         LUW-ID=GB030204.K0BF.D4209AAB3C7E=125117 - - THREAD-INFO=WASDB2U:11.3.2.4:WASDB2U:db2jcc_application:DYNAMIC
8,"09.53.49 CP1D S0113338  DNIE4497E 2018-02-27 01:53:49 BOCOU01 RCVROUTING Exception without valid message ID; exception data: message catalog=\BIPmsgs\, error - number=\2917\, parameters=\[[MER.BranchInfoCacheHolder.getN99Destinati"
9,09.53.49 CP1E S0113328  DNQK1006E 2018-02-27 01:53:49 BOCOU01  Message \19224810\ was backed out.
13,12.12.18 CP1F S0137393  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200028 00-           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP41APPL.D3F39F432D9E = 9643 -
14,12.13.24 CP1F S0137393  DSNB355I  -DP41 DSNB5SCO GROUP BUFFER POOL GBP34 RECOVERY LRSN VALUES MIGHT CAUSE A DELAY IN GRECP RECOVERY. PAGE LEVEL   = 00D3F3A01EF290000000 -                    MEMBER LEVEL = 00D3F39FD4D55DDE3A00 - PA
16,"13.59.36 CP1F          *IEA480E 36BD,DASD,SERVICE ALERT,MT=2107, * SER=0365-29513, *REFCODE=4526-8001-9805,VOLSER=P136BD,ID=27,SENSE=00000600 0032CF27 *1C000080 0198050C C5007349 41024526 05104E00 FE000000"
17,14.06.26 CP1E S0136294  BQCARQDEPS0 SEV=CRI MQ2A NamedQueue: PRM.CRE.PIPOUTQ2 CURRENT DEPTH: 6247 [CurrentDepth >= 5000]
21,"E2E:2018-02-27 14:28:22,277 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
22,"E2E:2018-02-27 14:27:08,555 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
23,"E2E:2018-02-27 14:27:19,712 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
24,"E2E:2018-02-27 14:27:34,806 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
25,"E2E:2018-02-27 14:30:08,973 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
26,"E2E:2018-02-27 14:29:52,324 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
27,"E2E:2018-02-27 14:31:14,218 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet"
28,10.33.05 CP1C S0044615 *2995 @SLS6699E MVC SPACE CRITICAL - PLEASE ADD * MORE MVCS TO MVCPOOL BJPOOL AND REPLY R TO RETRY
31,14.46.03 CP1E S0136294  BQBANCBGLS0 SEV=WAR QP21 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:20758 [CurrentDepth >= 20000]         请关注BGL队列深度变化，加强监控
32,21.13.17 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 703 73.0% INUSE SYSJOB
33,21.13.56 CP1F J0096995  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 20 DATASETS(MAX 32) SYSJOB
34,21.13.14 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 72.9% INUSE SYSJOB
35,21.13.56 CP1F J0096995  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB
36,21.13.12 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 80.2% INUSE SYSJOB
37,21.13.14 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 658 72.9% INUSE SYSJOB
38,21.13.12 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 213 71.6% INUSE SYSJOB
39,21.13.18 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 713 72.7% INUSE SYSJOB
40,21.13.13 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 653 73.1% INUSE SYSJOB
41,21.13.14 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 663 73.9% INUSE SYSJOB
42,21.13.15 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 678 73.9% INUSE SYSJOB
45,21.04.10 CP1F J0096955  +DBA:EISS BIG SEGMENT TS FOUND!CGEN008P HAS 25 DATASETS(MAX 32) SYSJOB
46,21.04.10 CP1F J0096955  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB
47,21.04.10 CP1F J0096955  +DBA:EISS BIG SEGMENT TS FOUND!CGEN140P HAS 23 DATASETS(MAX 32) SYSJOB
48,21.11.43 CP1D J0097081 *IEF099I JOB NA100009 WAITING FOR DATA SETS
49,21.13.13 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 75.6% INUSE SYSJOB
50,21.13.17 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 698 72.7% INUSE SYSJOB
51,21.13.15 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 673 73.3% INUSE SYSJOB
52,21.13.16 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 693 72.9% INUSE SYSJOB
53,03  21.13.17 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 708 72.7% INUSE SYSJOB
54,22.55.41 CP1C J0100086 *IEF099I JOB G01S663B WAITING FOR DATA SETS
55,21.13.16 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 688 73.8% INUSE SYSJOB
56,21.13.18 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 718 72.9% INUSE SYSJOB
57,21.13.16 CP1F J0096995  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 683 73.2% INUSE SYSJOB
59,01.05.02 CP1E J0113376 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
60,"01.05.03 CP1D J0113375 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS WEDNESDAY, FEBRUARY 28, 2018"
61,01.05.03 CP1D J0113375 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS
62,"00.31.31 CP1E S0113328  DNIE4497E 2018-02-27 16:31:31 BOCOU01 RCVROUTING Exception without valid message ID; exception data: message catalog='BIPmsgs', error - number='2917', parameters='((MER.BranchInfoCacheHolder.getN99Destinati"
63,00.31.31 CP1D S0113338  DNQK1006E 2018-02-27 16:31:31 BOCOU01  Message '19297748' was backed out.
64,00.33.58 CP1D S0137397  DSNB355I  -DP61 DSNB5SCO GROUP BUFFER POOL GBP32K1 RECOVERY LRSN VALUES MIGHT CAUSE A DELAY IN GRECP RECOVERY. PAGE LEVEL   = 00D3F445BF24AA000000 -                    MEMBER LEVEL = 00D3F4475670441D4000 -
65,18.09.37 CP1A S0136290  BZECSAUSES0 SEV=WAR CP1E ECSA:70.16 [ECSAUsed% > 70]
66,01.38.17 CP1C J0113676 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS
67,01.47.18 CP1E J0113718 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
68,05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 663 73.9% INUSE SYSJOB
69,05.02.54 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 75.6% INUSE SYSJOB
70,05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 673 73.3% INUSE SYSJOB
71,16  05.02.55 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 72.9% INUSE SYSJOB
72,05.02.53 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 80.3% INUSE SYSJOB
73,05.02.53 CP1F J0130785  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 213 71.6% INUSE SYSJOB
74,03.34.23 CP1D S0137389  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR 00- AFTER 3 CHECKPOINTS - CORRELATION NAME = DI090010 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP21APPL.D3F46DEC9003 = 121308 -
75,02.23.22 CP1D J0114813 *IEF099I JOB G01S506B WAITING FOR DATA SETS
76,04.52.33 CP1D S0136292  BSSTRGRUPS0 SEV=WAR CP1D SG: SGIMGDP CURRENT: 84.30 [Enabled%Full >= 80]
