id,risk,category,keys
50561,1+,3,j0122972 tssafe 21 39 cp1f 14 datasets segment max has
50562,1+,3,j0122972 tslmvu 39 cp1f 14 max segment datasets has bancs
50563,1+,3,j0122972 tsspyo 39 cp1f 14 segment max datasets has bancs
50564,1+,1,j0122972 252 70 13 tsgect cp1f part inuse partition bancs
50565,1+,1,j0122972 72 126 23 13 tsgect cp1f part inuse partition
50566,1+,1,j0122972 78 251 24 13 tsgect cp1f part inuse partition
50567,1+,1,j0122972 77 98 23 13 tsgect cp1f inuse part partition
50568,1+,1,j0122972 71 159 24 13 tsgect cp1f part inuse partition
50569,1+,5,j0123048 na100006 50 cp1f ief099i sets waiting job data for
50570,1+,3,j0122933 cgen245p 23 cp1f eiss segment datasets max has 04
50571,1+,3,j0122933 cgen263p 22 eiss cp1f segment max datasets has 04
50572,1+,3,j0122933 cgen246p 21 eiss cp1f datasets segment max has 04
50573,1+,3,j0122933 cgen050p eiss cp1f max datasets segment has 04 ts
50574,100+,4,bszbase 00000018 00002102 dsnt500i c90088 s0005755 resource dp1z unavailable dsnugrar
50575,1+,5,j0134179 g01s663b 36 23 08 cp1e sets waiting ief099i job
50576,1+,5,j0129294 ec046200 23 09 10 cp1d waiting ief099i sets job
50577,1+,5,j0138187 g01s506b 41 57 cp1c 00 ief099i sets waiting job
50578,1+,7,unlo uu460009 ul460009 cus1 cfb a5 prddedpr dataset cp2a ios080i
50579,1+,5,j0135720 sa060000 51 cp1d 00 ief099i waiting sets job data
50580,10+,4,aa s0065864 intervention required ios003a cp2d 24 40 00 03
50581,10+,4,ab s0065864 ios003a intervention required cp2d 24 40 00 03
50582,10+,4,e13 s0065864 ios003a intervention required cp2d 40 00 02 j0070666
50583,10+,4,aa s0065864 intervention required ios003a cp2d 24 40 00 03
50584,10+,4,e14 s0065864 ios003a intervention required cp2d 40 00 02 j0070666
50585,1+,5,j0135356 g01s023b 53 26 cp1e 00 sets waiting ief099i job
50586,1+,5,j0128730 tmz60000 27 cp2d 44 sets ief099i waiting job data
50587,1+,5,j0140630 p1zosdl 41 26 cp1c ief099i sets waiting job data
50588,10+,4,s0129634 gbp3 dp41 dsnb319a dsnb1cne shortage there space pool in
50589,1+,5,j0044851 november thursday 05 smfmrgci cp3b 29 waiting ief099i sets
50590,1+,5,j0139692 smfmrgci cp1e ief099i sets waiting job data 03 for
50591,1+,5,dedplk31 j0056558 cp3a 28 45 02 sets waiting ief099i job
50592,1+,5,j0050651 rmfrptd3 cp3b 15 02 ief099i waiting sets job data
50593,1+,5,j0141139 p1cicsdl 22 cp1e 02 waiting ief099i sets job data
50594,10+,4,gbp3 s0129637 dp81 dsnb319a dsnb1cne shortage there space pool in
50595,100+,4,size 70665375 h14 kb setname imgcp 70000000 ca181128 bsdb2qbszs0 alloc
50596,1+,5,j0159538 c4card00 46 cp2d 00 ief099i waiting sets job data
50597,1+,5,j0068418 dedpdes5 cp3d 31 42 ief099i waiting sets job data
50598,1+,5,j0068405 dedpdeu4 cp3c 31 34 sets waiting ief099i job data
50599,10+,4,structure in d53f0745 f43e8594 dsndp0z bcc2c5 90 usage threshold monitoring
50600,10+,4,dp2z s0006883 critical dsnb325a gbp32k1 dsnb1cne shortage there space pool
50601,1+,5,j0158689 a01m9258 56 16 cp1e ief099i sets waiting job data
50602,10+,4,wbicron2 id wbicron tcb rrsaf asid j0158548 fb user a01s766b
50603,1+,5,j0158482 axbkout 23 30 cp1e ief099i sets waiting job data
50604,1+,3,j0158023 tssafe 19 cp1c 07 max segment datasets has bancs
50605,1+,3,j0158023 tslmvu 19 cp1c 07 max segment datasets has bancs
50606,1+,3,j0158023 tsspyo 19 cp1c 07 datasets segment max has bancs
50607,1+,1,j0158023 72 126 05 54 tsgect cp1c part inuse partition
50608,1+,1,j0158023 71 159 05 55 tsgect cp1c inuse part partition
50609,1+,1,j0158023 78 251 05 55 tsgect cp1c part inuse partition
50610,1+,1,j0158023 252 05 70 56 tsgect cp1c part inuse partition
50611,1+,1,j0158023 77 inuse part 72 126 05 98 54 tsgect
50612,1+,3,j0158099 cgen245p 23 eiss cp1d datasets segment max has 04
50613,1+,3,j0158099 cgen246p eiss cp1d max segment datasets has 04 05
50614,1+,3,j0158099 cgen263p 22 eiss cp1d segment max datasets has 04
50615,1+,3,j0158099 cgen050p eiss cp1d max segment datasets has 04 05
50616,1+,7,16 s0129911 parmlib sys0 bsoextpdss0 exts extents mlib set cp1b
50617,1+,7,s0044205 extents parmlib bsoextpdss0 exts sys0 mlib set cp2c cp2d
50618,10+,4,id dsn32k01 dp71work s0119535 a002 xxn2911s d70002 d54d4d8 dp71appl dsndbd
50619,1+,5,j0166956 g01s583b 18 31 cp1f 10 ief099i sets waiting job
50620,1+,5,qxccdbin j0166664 15 cp1e 07 10 sets waiting ief099i job
50621,10+,4,d54d68d57451 23762 tf000602 pl dp81appl s0129637 dp81 batch luwid checkpoints
50622,10+,4,previous the d54d6492e21c000000 nov gbp34 s0126467 dp11 dsnb356i exist dsnb5sco
50623,1+,5,j0009986 g01s583b 18 15 19 cp1f waiting ief099i sets job
50624,1+,3,j0013954 tslmvu 15 17 cp1f datasets segment max has bancs
50625,1+,3,j0013954 tssafe 21 15 17 cp1f datasets segment max has
50626,1+,3,j0013954 tsspyo 15 17 cp1f datasets segment max has bancs
50627,1+,1,j0013954 72 159 tsgect cp1f 14 part inuse partition 03
50628,1+,1,j0013954 252 70 tsgect cp1f 14 inuse part partition 03
50629,1+,1,j0013954 73 126 tsgect cp1f 14 part inuse partition 02
50630,1+,1,j0013954 78 251 tsgect cp1f 14 part inuse partition 03
50631,1+,1,j0013954 77 98 tsgect cp1f 14 inuse part partition 02
50632,1+,5,j0014024 na100009 42 cp1f waiting sets ief099i job data for
50633,1+,3,j0013880 cgen050p eiss cp1d segment max datasets has 04 big
50634,1+,3,j0013880 cgen246p 21 eiss cp1d datasets segment max has 04
50635,1+,3,j0013880 cgen245p 23 eiss cp1d datasets max segment has 04
50636,1+,3,j0013880 cgen263p 22 eiss cp1d datasets max segment has 04
50637,10+,4,29 s0177924 cip1mm21 cip1kt22 22 eyupn0005w event text cplexbbs sammax
50638,10+,4,bszbase 00000018 00002102 dsnt500i c90088 s0005755 resource dp1z unavailable dsnugrar
50639,1+,5,j0025022 g01s663b 39 23 29 cp1d waiting ief099i sets job
50640,1+,5,j0025022 g01s663b 39 23 29 cp1d waiting ief099i sets job
50641,10+,4,previous the 00 d54e0a1ee133000000 nov s0129632 gbp28 dp71 exist dsnb356i
50642,1+,5,j0028757 g01s023b 41 cp1e 00 ief099i sets waiting job data
50643,1+,5,j0026205 sa040000 31 34 cp1f 00 ief099i sets waiting job
50644,1+,4,d54dfc48b86e 89132 s0129621 dp51appl dp51 me980000 db2call luwid ur dsnrpbcw
50645,100+,4,paths 071 ios002a available no 37 42 cp1e 01 j0072966
50646,1+,5,j0031379 pu gen supported p1zosdl 38 56 cp1c ief099i sets
50647,1+,5,j0197486 tmz60000 cp2b 36 31 waiting ief099i sets job data
50648,1+,7,et064109 4780 c2me6411 prdcbs fibaifp bbcq dataset interval exceeded ios080i
50649,1+,5,j0030696 g01s506b 59 15 cp1f ief099i sets waiting job data
50650,1+,5,j0158318 smfmrgci cp3b ief099i waiting sets job data 03 for
50651,1+,5,j0030506 smfmrgci cp1e ief099i sets waiting job data 04 for
50652,1+,5,j0164176 rmfrptd3 cp3b 15 02 ief099i waiting sets job data
50653,1+,5,j0035810 p1cicsdl 37 13 cp1e 02 sets ief099i waiting job
50654,1+,7,c4042331 a3301 bc e1 etqd2042 et prdc64r lveq cp2a dataset
50655,1+,5,j0046576 cxbkup06 33 cp1c sets ief099i waiting job data 04
50656,10+,4,dsnb5sts dp1z s0005755 gbp28 dsnb319a shortage there space pool buffer
50657,10+,4,structure in bcc1c5 d53f0738 e5cc22a5 tot dsndp0z gbp28 90 usage
50658,10+,4,s0006883 dp2z critical dsnb325a gbp28 dsnb1cne shortage there space pool
50659,1+,5,j0049712 axbkout 13 cp1d ief099i waiting sets job data for
50660,1+,3,j0049198 05 tslmvu 35 cp1c max datasets segment has bancs
50661,1+,3,j0049198 tssafe 05 35 cp1c max datasets segment has bancs
50662,1+,3,j0049198 05 tsspyo 35 cp1c max datasets segment has bancs
50663,1+,1,j0049198 78 251 13 tsgect cp1c inuse part partition 04
50664,1+,1,j0049198 252 70 13 tsgect cp1c inuse part partition 04
50665,1+,3,j0049258 cgen050p eiss cp1f segment datasets max has 04 05
50666,1+,1,j0049198 73 126 tsgect cp1c part inuse partition 04 bancs
50667,1+,1,77 j0049198 98 tsgect cp1c part inuse partition 04 bancs
50668,1+,3,j0049258 cgen263p 22 eiss cp1f segment max datasets has 04
50669,1+,3,j0049258 cgen245p 23 eiss cp1f segment datasets max has 04
50670,1+,3,j0049258 cgen246p eiss cp1f segment datasets max has 04 05
50671,1+,1,majnod cp1bxce0 77 j0049198 98 tsgect cp1c part inuse partition
50672,1+,1,j0049198 72 159 tsgect cp1c part inuse partition 04 bancs
50673,10+,4,amdd kb0263 20561 20618 blocks de6 sgtso modified written 82
50674,10+,4,ie g61577 ca181129 h233957 tsbgdf p00024 backupp3 totalblocks vols list
50675,10+,4,structure in c3b8d4 d53f68f3 95 tot dsndp0y bcc2c5 gbp28 90
50676,10+,4,dp2y s0059824 gbp28 dsnb319a dsnb1cne shortage there space pool in
50677,10+,4,transient s0049990 severity 31323031383131398897035 reported 0692397914826869964599609 dnfo1005e 08 sag 375
50678,1+,7,s0044205 sys0 exts extents parmlib bsoextpdss0 mlib set cp2c 27
50679,10+,4,zfs swiftios useage omvs bzzfsusges0 s0129909 80 name 34 war
50680,1+,5,j0058625 g01s583b 18 59 10 cp1d ief099i sets waiting job
50681,1+,4,80 cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 48
50682,10+,4,d54ea4273094 8949 ns200023 dp81appl s0129637 dp81 utility luwid dsnrpbcw dsnr035i
50683,1+,4,80 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 47
50684,1+,4,80 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 46
50685,1+,4,80 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full 70 current
50686,1+,4,16 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 81 full current
50687,1+,4,cp1d 90 sgwbidb bsstrgrups0 s0129911 sg enabled 81 full current
50688,1+,4,82 cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80
50689,1+,5,j0111941 g01s583b 48 18 19 cp1f ief099i waiting sets job
50690,1+,4,82 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 80
50691,1+,4,82 cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80
50692,1+,4,83 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 80
50693,1+,3,j0116416 tsspyo 31 15 cp1f segment datasets max has bancs
50694,1+,3,j0116416 tssafe 21 31 15 cp1f segment datasets max has
50695,1+,3,j0116416 tslmvu 31 15 cp1f segment datasets max has bancs
50696,1+,1,j0116416 252 70 31 tsgect cp1f 14 part inuse partition
50697,1+,1,j0116416 72 159 31 tsgect cp1f 14 part inuse partition
50698,1+,1,j0116416 78 98 30 tsgect cp1f 14 inuse part partition
50699,1+,1,j0116416 73 126 30 tsgect cp1f 14 inuse part partition
50700,1+,1,j0116416 79 251 31 tsgect cp1f 14 inuse part partition
50701,1+,5,j0116478 na100009 cp1e ief099i waiting sets job data for 01
50702,1+,3,j0116327 cgen246p 21 eiss 10 cp1d segment max datasets has
50703,1+,3,j0116327 cgen263p 22 eiss 10 cp1d datasets max segment has
50704,1+,3,j0116327 cgen050p eiss 10 cp1d segment max datasets has 04
50705,1+,3,j0116327 cgen245p 24 eiss 10 cp1d segment max datasets has
50706,1+,4,83 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 80
50707,10+,4,name eh460007 dbci1600 twsp authid s0126467 dp11 batch plan checkpoints
50708,100+,4,000010 dsndb01 sysutilx 00000302 dp2z unavailable s0006883 dsnt500i resource dsnugrar
50709,1+,4,83 cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80
50710,1+,4,80 83 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current
50711,10+,4,ss160028 127442 s0129625 d54f4a7c0cfd dp61appl dp61 utility luwid warning uncommitted
50712,1+,5,j0128828 sa040000 34 40 cp1d 00 ief099i sets waiting job
50713,1+,5,j0128828 sa040000 34 40 cp1d 00 ief099i sets waiting job
50714,1+,5,j0128649 g01s023b 27 cp1c 00 sets ief099i waiting job data
50715,1+,7,a3307 c4041337 cc etqd2041 et prdc64r lveq dataset interval ios080i
50716,10+,4,hsmpdox cp1hs1 bochsm 83 cp1d 90 sgwbidb bsstrgrups0 s0129911 enabled
50717,1+,5,j0133864 p1zosdl 37 42 cp1c sets waiting ief099i job data
50718,1+,5,j0066762 tmz60000 cp2a 26 31 sets ief099i waiting job data
50719,10+,4,previous the d54f526ff573000000 s0177136 gbp2 dp1c dec dsnb356i exist level
50720,1+,5,j0069922 smfmrgci cp3b 02 ief099i waiting sets job data for
50721,1+,5,j0133370 smfmrgdb 01 cp1d sets waiting ief099i job data for
50722,1+,5,j0133371 smfmrgci cp1e ief099i sets waiting job data 04 for
50723,10+,4,114343 d54f436d8940 dp71appl s0129632 dp71 me980000 db2call 01 luwid uncommitted
50724,1+,4,83 cp1d 90 sgwbidb bsstrgrups0 s0129911 sg enabled full 53
50725,1+,5,j0143072 p1cicsdl 37 24 cp1e 02 sets waiting ief099i job
50726,10+,4,gbp4 s0129632 dp71 dsnb319a dsnb1cne there shortage space pool in
50727,1+,5,j0074524 rmfrptd3 cp3b 15 02 ief099i waiting sets job data
50728,1+,4,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full 53 current
50729,1+,5,g01s131b j0145195 cp1c 07 sets waiting ief099i job data 03
50730,100+,4,1029748 j0144963 exceeds qdepth alarm xmitq1 now qps2 depth qm93
50731,1+,5,j0098171 c4card01 03 cp2c 26 sets ief099i waiting job data
50732,1+,4,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full current 80
50733,1+,4,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full current 80
50734,1+,5,j0151934 a01s804b 27 06 cp1f waiting ief099i sets job data
50735,1+,5,j0151877 axbkout 28 17 cp1d sets waiting ief099i job data
50736,1+,3,j0151521 05 tsspyo 44 cp1f max datasets segment has bancs
50737,1+,3,j0151521 tssafe 05 44 cp1f max datasets segment has bancs
50738,1+,3,j0151521 05 tslmvu 44 cp1f max datasets segment has bancs
50739,1+,1,j0151521 78 98 28 tsgect cp1f part inuse partition 04
