,message,category
0,"+DFHIC0801  CIP1FT21 CICS time altered from 23.59.599 to 00.00.000 -
",5
1,"+DFHIC0801  CIP1FT31 CICS time altered from 24.00.000 to 00.00.000 -
",5
2,"+DFHIC0801  CIP1KA27 CICS time altered from 24.00.000 to 00.00.000 -
",5
3,"+DFHIC0801  CIP1KA45 CICS time altered from 24.00.000 to 00.00.000 -
",5
4,"+DFHIC0801  CIP1KA26 CICS time altered from 24.00.000 to 00.00.000 -
",5
5,"+DFHIC0801  CIP1KA35 CICS time altered from 24.00.000 to 00.00.000 -
",5
6,"+DFHIC0801  CIP1KA46 CICS time altered from 24.00.000 to 00.00.000 -
",5
7,"+DFHIC0801  CIP1AA31 CICS time altered from 24.00.000 to 00.00.001 -
",5
8,"+DFHIC0801  CIP1GA11 CICS time altered from 24.00.000 to 00.00.001 -
",5
9,"+DFHIC0801  CIP1KT41 CICS time altered from 24.00.000 to 00.00.001 -
",5
10,"+DFHIC0801  CIP1AT21 CICS time altered from 24.00.000 to 00.00.001 -
",5
11,"S SA390PRT,I=NV.SYSTEM.CP1EA.DSILOGP,O=NV.SYSTEM.CP1EA.LOG(+1)
",5
12,"S SA390PRT,I=NV.SYSTEM.CP1DA.DSILOGS,O=NV.SYSTEM.CP1DA.LOG(+1)
",5
13,"S SA390PRT,I=NV.SYSTEM.CP1BA.DSILOGS,O=NV.SYSTEM.CP1BA.LOG(+1)
",5
14,"$HASP100 SA390PRT ON STCINRDR
",5
15,"EQQE037I JOB ICDOMEND(        ), OPERATION(0255), IN APPLICATION 266
",5
16,"IEC070I 203-204,RMFGAT,RMFGAT,SYS29997,18C7,P1SM17, 653
",5
17,"$HASP373 NV390PRT STARTED
",9
18,"$HASP373 NV390PRT STARTED
",9
19,"-                                         --TIMINGS (MINS.)--          
",5
20,"WRITELOG L
",5
21,"IEF196I IEF237I JES2 ALLOCATED TO SYSLOG16
",5
22,"IEF196I IEF285I   +MASTER+.SYSLOG.S0093239.D0000287.?          SYSOUT
",5
