,id,summary,risk,category
417,50978,"02.20.12 CP1D S0130146 *IEA480E 179B,DASD,SERIOUS ALERT,MT=2107, * SER=0385-50562, *REFCODE=EF13-8001-8105,VOLSER=P1179B,ID=05,SENSE=00000600 1B32CF05 *11800080 0181050D 0500C582 A178EF13 05104200 FE000000",1000+,5
448,51009,"*12.49.32 CP1F          *IEA480E 5659,SCU,MODERATE ALERT,MT=2107, * SER=0385-50561, *REFCODE=AF60-16E0-1176,SENSE=00901000 003C8F31 11500016 E011760D *0500C581 A560AF60 05104200 F1000000",1000+,5
2368,52929,"21.13.46 J0121368  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 81.1% INUSE SYSJOB DSNAME=DSNDP01R.DP71.AC1.D2018350.T2113007.A0168552, - STARTRBA=000000013E1DA3C5C000, ENDRBA=000000013E1E76C1BFFF, - STARTLRSN=00D563357E271A5A2400, ENDLRSN=00D5633B535",1000+,5
2855,53416,"*22.58.56          *IEA480E 226E,SCU,MODERATE ALERT,MT=2107,SER=0385-51965, *REFCODE=CF12-16E0-0F56,SENSE=00901000 003C8F79 11500016 E00F560D *0500CAFD B808CF12 05104E03 F1000000",1000+,5
4109,54670,"04.32.05 CP3D J0153076 *IEF099I JOB DEDPG1S5 WAITING FOR DATA SETS COMPLETE VOLUME LIST, DSN=BKYP.L.A.AB.TSINXP.P00002.D181227.H20,VOLS=D56203,TOTALBLOCKS=5",100+,8
13,50574,22.01.32 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,100+,5
41,50602,05.37.46 CP1F J0158548 *IEF099I JOB A01S766B WAITING FOR DATA SETS USER=WBICRON CONNECTION-ID=RRSAF CORRELATION-ID=WBICRON2 JOBNAME=WBICRON2 ASID=00FB TCB=00000000,100+,5
57,50618,"10.42.16 CP2C S0119535  DSNP007I  -DP71 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP71WORK.DSN32K01.I0001.A002. RC=00D70002 -            CONNECTION-ID=BATCH, CORRELATION-ID=XXN2911S, -            LUW-ID=DSNDP01.DP71APPL.D54D4D8",100+,5
84,50645,"01.42.37 CP1E          *IOS002A 071B,NO PATHS AVAILABLE",100+,5
147,50708,22.01.26 CP3B S0006883  DSNT500I  -DP2Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00000302 -            NAME DSNDB01 .SYSUTILX.X'000010',100+,5
329,50890,05.06.27 CP1F J0048006  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB Volume FD3001 (/tapelibPRODHSH/DD1_POOL02_FS1/FD3001) already scratched,100+,5
789,51350,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>83271</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-06T16:05:11.38797792.502281Z</Sw",100+,5
790,51351,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>107495</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL16547-2018-12-06T16:06:59.10289788.666324Z</S",100+,5
791,51352,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>82887</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-06T16:06:43.22806968.502675Z</Sw",100+,5
