告警信息,所属类别,预估方差,CDF百分比,风险指数
SUMMARY,5,-1.09520856,1,10000
21.13.27 CP1F J0187591 +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 70.8% INUSE SYSJOB IST894I ADJSSCPS TRIED FAILURE SENSE ADJSSCPS TRIED FAILURE SENSE IST895I ISTAPNCP 08400007 IS T314I END,5,-1.089343292,0.999870651,4360.160171
05.04.04 CP1C J0140338  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 678 87.1% INUSE SYSJOB STC             ) ISF.CONNECT.CP1C CL(SDSF    ) INSUFFICIENT ACCESS AUTHORITY FROM ISF*.** (G) ACCESS INTENT(READ   )  ACCESS ALLOWED(NONE   ),5,-1.085596277,0.999741301,2787.854747
"E2E: 21.26.09 CP3A S0060170 BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:1 端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.08457296,0.999611952,2048.978294
"E2E: 19.36.34 CP3B S0101290  BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:0        端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.082144906,0.999482603,1619.70208
23.13.29 CP1C S0136289 BCTRNCLASS0 SEV=WAR CIP1KA41 ClassName: TCLB3E1 [PurgeTotal >= 5],5,-1.081369263,0.999353253,1339.141882
"E2E: 21.25.24 CP1F S0188431 BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:6 端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.081315951,0.999223904,1141.427116
03.59.52 S0177715  BZCICSJOBS0 SEV=WAR ALL Jobname: P1CICS (CondCode <> 0) OR (Abend Code <> '') Volume GA4620 (/tapelibPRODHSH/DD1_POOL03_FS6/GA4620) already scratched,5,-1.081218928,0.999094554,994.5838855
"E2E: 19.35.51 CP1F S0126440  BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:5 04-       端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.080145731,0.998965205,881.2164457
17.47.49 CP1E S0021523 BQBANCBGLS0 SEV=WAR QP31 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:30288 (CurrentDepth >= 20000) 请关注BGL队列深度变化，加强监控,5,-1.079385346,0.998835856,791.0488995
15.34.13 CP1E S0021523 BQBANCBGLS0 SEV=WAR QP11 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:20126 [CurrentDepth >= 20000] 请关注BGL队列深度变化，加强监控,5,-1.078850336,0.998706506,717.6207405
17.01.26 CP1E S0021523 BQBANCBGLS0 SEV=WAR QP31 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:22237 [CurrentDepth >= 20000] 请关注BGL队列深度变化，加强监控,5,-1.07873301,0.998577157,656.6664685
03.43.48 S0141703 BSSTRGRUPS0 SEV=WAR CP2D SG: SGTEMP CURRENT: 82.70 [Enabled%Full >= 80],5,-1.078349886,0.998447808,605.2563591
"E2E: 22.14.19 CP3A S0101289  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.077971702,0.998318458,561.3115421
15.12.13 CP1E S0136294 BQCARQDEPS0 SEV=WAR MQ2A NamedQueue: PRM.CRE.PIPOUTQ2 CURRENT DEPTH: 3903 (CurrentDepth >= 2000),5,-1.077959508,0.998189109,523.3160271
07.50.52 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGTSO CURRENT: 82.10 [Enabled%Full >= 80] Device 0DE6 volume KB0263 AMDD modified 20561 of 20618 blocks written,5,-1.077553592,0.998059759,490.1382734
05.26.59 CP1E S0021523 BQSYSQDEPS0 SEV=WAR QP31 NamedQueue: SYSTEM.ADMIN.CHANNEL.EVENT CURRENT DEPTH:2803 (CurrentDepth >= 2000),5,-1.077229426,0.99793041,460.9165867
18.17.55 CP1E S0129913  BQBANCBGLS0 SEV=WAR QP11 NamedQueue: BANCS.BGLTM001.QUEUE CURRENT DEPTH:22837 (CurrentDepth >= 20000)         请关注BGL队列深度变化，加强监控,5,-1.077143169,0.997801061,434.983205
22.21.00 CP1C S0020886 BCTRNCLASS0 SEV=WAR CIP1KA35 ClassName: TCLB35G [PurgeTotal >= 5],5,-1.076795763,0.997671711,411.8126468
"21.13.54 CP1F J0106002 +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 76.2% INUSE SYSJOB ""NBANCS.TMAP"" for Q subscription ""DP01_TO_QMDD_HS1_NTMAP"" - (receive queue ""QR.SENDQ1.QPS1.TO.QMDD"", replic ation queue map - ""DP01_TO_QMDD_HS1""). The handling of",5,-1.075939197,0.997542362,390.9857331
"E2E: 22.14.33 CP1E S0126441  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:5        端到端主机Log DC重连Socket失败，Log DC线程退出。",5,-1.075820031,0.997413013,372.1640006
20.06.57 CP3D S0048789  _CSQX599E !QP2S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.38.168,5,-1.07508091,0.997283663,355.0711658
07.02.05 CP1E S0021523 BQAPPQDEPS0 SEV=WAR QWP2 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2097 (CurrentDepth >= 2000),5,-1.074369339,0.997154314,339.4794736
07.02.06 CP1E S0136294 BQAPPQDEPS0 SEV=WAR QWP1 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2233 [CurrentDepth >= 2000],5,-1.074063954,0.997024964,325.1994902
"17.06.43 CP3C S0126234 +CSQX208E !QP1S CSQXRESP Error receiving data, channel SAGLDD.QP0S connection (21.233.1.114) - (queue manager QP0S) - TRPTYPE=TCP RC=00000461 (ECONNRESET) reason=76650446",5,-1.073729857,0.996895615,312.0723688
00.59.29 CP1E S0021523 BQCARQDEPS0 SEV=WAR MQ3A NamedQueue: ACQ.PRD.ATHINQ CURRENT DEPTH: 2450 [CurrentDepth >= 2000],5,-1.073712173,0.996766266,299.9639159
07.01.41 CP1E S0021523 BQAPPQDEPS0 SEV=WAR QWP2 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2935 (CurrentDepth >= 2000),5,-1.073367154,0.996636916,288.7599867
19.07.04 CP1E S0021523 BQCARQDEPS0 SEV=WAR MQ2A NamedQueue: PRM.CRE.PIPINQ CURRENT DEPTH: 4011 [CurrentDepth >= 2000],5,-1.07335948,0.996507567,278.3628763
01.19.13 CP1E S0136294 BQAPPQDEPS0 SEV=WAR QP31 NamedQueue: BANCS.GCMS.TRANSMIT CURRENT DEPTH:2064 [CurrentDepth >= 2000],5,-1.073051571,0.996378218,268.6884625
07.01.44 CP1E S0041766  BQAPPQDEPS0 SEV=WAR QWP1 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2197 (CurrentDepth >= 2000),5,-1.073015772,0.996248868,259.6639248
20.40.53 CP3C S0126234 _CSQX599E !QP1S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.41.114,5,-1.072643553,0.996119519,251.2259083
07.02.36 CP1E S0021523 BQAPPQDEPS0 SEV=WAR QWP2 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2206 (CurrentDepth >= 2000),5,-1.072535702,0.995990169,243.319034
21.14.17 CP1D J0152807  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 86.8% INUSE SYSJOB data changes and whether the Q subscription specifies that load - operations at the source table should be replicated (value of - CAPTURE_LOAD column in the IBMQR,5,-1.071933656,0.99586082,235.8946819
00.07.55 CP1E S0021523 BQCARQDEPS0 SEV=WAR MQ3A NamedQueue: PRM.CRE.PIPINQ CURRENT DEPTH: 3937 [CurrentDepth >= 2000],5,-1.071538905,0.995731471,228.9099905
"21.15.23 CP1E J0088234  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 653 87.4% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.CPTL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NCPTL"" - (receive queue ""QR.NI.SENDQ1.QPS1",5,-1.071370228,0.995602121,222.3270287
"20.28.06 CP1E S0177455  +CSQX208E !MQ3A CSQXRESP Error receiving data, channel CH_HHAP.TO.EACQ connection 21.123.109.144 -  (queue manager MQGA) -  TRPTYPE=TCP RC=00000461 (ECONNRESET) reason=769E0291",5,-1.071104679,0.995472772,216.1121066
07.01.52 CP1E S0136294 BQAPPQDEPS0 SEV=WAR QWP2 NamedQueue: APPISN.MI.WBIFN.SENDQ CURRENT DEPTH:2425 (CurrentDepth >= 2000),5,-1.070820544,0.995343423,210.2351991
"03.27.50 CP1B S0177653  DLM01VT3   09/27/2018 03:28:18 vte3 VT: DLm0500I: Scratch of volume DB6982 requested by host via device 0CB5, dsn='U.D161107.T030810' -  GBP30, - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES",5,-1.070794441,0.995214073,204.6694605
"17.07.08 CP3D S0128287 _CSQX208E !QP2S CSQXRESP Error receiving data, channel SAGLDD.QP0S connection [21.233.1.114] - [queue manager QP0S] - TRPTYPE=TCP RC=00000461 [ECONNRESET] reason=76650446",5,-1.070661553,0.995084724,199.3908148
09.39.23 CP3D S0192570 DNQK1006E 2018-05-04 01:39:23 BOCOUA Message \30462744\ was backed out.,5,-1.070661311,0.994955374,194.377607
"01.13.15 CP1E S0021662 +EYUPN0005W CIP1MM31 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT32, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 01:13:15.",5,-1.07037995,0.994826025,189.6103068
18.02.04 CP3D S0048789  _CSQX599E !QP2S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.38.166,5,-1.069999248,0.994696676,185.071254
20.19.00 CP3C S0126234 _CSQX599E !QP1S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.41.114,5,-1.069732637,0.994567326,180.7444398
02.23.57 CP1D S0041765  BSSTRGRUPS0 SEV=WAR CP1D SG: SGSYSBAK CURRENT: 81.70 (Enabled%Full >= 80),5,-1.069327064,0.994437977,176.6153185
E2E: 01.59.41 CP3A S0122066 BZLOGDCALS0 SEV=WAR CP3A Jobname: CYTALGZ1 IS NOT ACTIVE 端到端主机Log DC地址空间下宕。,5,-1.068526374,0.994308628,172.6706438
01.09.31 CP1E S0136294 BQBUFPOOLS0 SEV=WAR QWP2 BufferPool ID: 3 [%Used >= 50],5,-1.068415856,0.994179278,168.8983267
10.01.05 CP3A J0007154 IEF450I P3OLOG IOS080I - ABEND=S222 U0000 REASON=00000000,5,-1.068353155,0.994049929,165.2873126
"14.35.07 CP3B S0122313 _CSQX208E !QP1X CSQXRESP Error receiving data, channel GTSAMER.BOCSAMER.CHL connection 21.125.48.104 - [queue manager QMgrGtsCom] - TRPTYPE=TCP RC=00000480 reason=00000000",5,-1.068345212,0.993920579,161.8274719
"03.30.33 S0177752  +CSQX208E !QPS2 CSQXRESP Error receiving data, channel QR.CHL1.QM93.TO.QPS2 connection 11.4.35.141 -  (queue manager QM93) -  TRPTYPE=TCP RC=00000006  reason=00000000",5,-1.067944547,0.99379123,158.5095063
"18.14.23 CP1F J0094914 $HASP100 TF000802 ON INTRDR FROM J0016670 TFDR0107 GBP1, - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL = 00D43E1 E975465000000 18:04:20 APR 27,",5,-1.067147488,0.993661881,155.3248642
21.13.14 CP1E J0028765 _DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB DP01_TO_EVENP_HS]. The handling of rows that are added or - changed depends on the type of DB2 utility that performed the - data changes and whether the Q subsc,5,-1.067116062,0.993532531,152.2656682
E2E: 19.39.42 CP3A S0122066 BZLOGDCALS0 SEV=WAR CP3A Jobname: CYTALGZ1 IS NOT ACTIVE 端到端主机Log DC地址空间下宕。,5,-1.067028416,0.993403182,149.3246493
"02.37.49 CP3A J0149521 IEC999I IFG0TC0A,IFG0TC0B,P3OLOG ,IOS080I ,DEB ADDR=89C07C ,DSN = SYSBAK.OLOG.PLEXP3.DAILY.G1828V00",5,-1.066527442,0.993273833,146.4950894
13.48.11 CP1E S0082755 DNQK1006E 2018-04-04 05:48:11 BOCOU01 Message \21912995\ was backed out.,5,-1.066496633,0.993144483,143.7707701
"18.02.04 CP3D S0048789  _CSQX208E !QP2S CSQXRESP Error receiving data, channel TIMCLU.QP0S connection 21.125.38.166 -  [queue manager QP0S] -  TRPTYPE=TCP RC=00000461 [ECONNRESET] reason=769E0291",5,-1.066072198,0.993015134,141.1459275
"20.19.00 CP3C S0126234 _CSQX208E !QP1S CSQXRESP Error receiving data, channel TIMCLU.QP0S connection [21.125.41.114] - [queue manager QP0S] - TRPTYPE=TCP RC=00000461 [ECONNRESET] reason=00000000",5,-1.065429333,0.992885785,138.6152106
"21.14.03 CP1E J0148460  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 75.2% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.CPTL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NCPTL"" - (receive queue ""QR.NI.SENDQ1.QPS1",5,-1.065354352,0.992756435,136.1736456
"00.54.34 CP1D S0021973 _EYUPN0005W CIP1MM21 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT22, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 00:54:34.",5,-1.065073138,0.992627086,133.8166032
"02.38.27 CP3A J0026610 IEC999I IFG0TC0A,IFG0TC0B,P3OLOG ,IOS080I ,DEB ADDR=89C07C ,DSN = SYSBAK.OLOG.PLEXP3.DAILY.G1821V00",5,-1.064621277,0.992497736,131.539769
10.27.44 CP1D S0021975 DSNT375I -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER - LUW-ID=GB030203.N753.D45818CF4A58=116538 - - THREAD-INFO=WASDB2U:11.3.2.3:WASDB2U: db2jcc_application:DYNAMIC:637,5,-1.064471688,0.992368387,129.3391174
"02.38.35 CP3A J0130080 IEC999I IFG0TC0A,IFG0TC0B,P3OLOG ,IOS080I ,DEB ADDR=89C07C ,DSN = SYSBAK.OLOG.PLEXP3.DAILY.G1822V00",5,-1.064377241,0.992239038,127.2108877
"21.14.53 CP1E J0088234  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 70.3% INUSE SYSJOB by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TPFL"" for Q subscription ""DP01_CAP3_TO_QMDD_HS1_NTPFL"" - (receive queue ""QR.NI.SENDQ1.QPS1",5,-1.064130433,0.992109688,125.1515627
00.23.07 CP3C S0126128 DSNT375I -DP1S PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli 23- CONNECTION-ID=SERVER - LUW-ID=H57D0201.P023.D451CB5C7821=110786 - - THREAD-INFO=WASDB2U:21.12 5.2.1:WASDB2U:db2jcc_application:DYNAMIC:836 - 7:*:<::2,5,-1.064099913,0.991980339,123.1578495
"02.38.38 CP3A J0122813 IEC999I IFG0TC0A,IFG0TC0B,P3OLOG ,IOS080I ,DEB ADDR=89C07C ,DSN = SYSBAK.OLOG.PLEXP3.DAILY.G1820V00",5,-1.063979059,0.99185099,121.2266614
09.42.56 CP3A J0007091 IEF450I P3OLOG IOS080I - ABEND=S222 U0000 REASON=00000000,5,-1.063919996,0.99172164,119.3551027
AA- 03.44.01 CP1E S0021523 BQSYSQDEPS0 SEV=WAR QP31 NamedQueue: SYSTEM.ADMIN.CHANNEL.EVENT CURRENT DEPTH:2803 [CurrentDepth >= 2000],5,-1.063760367,0.991592291,117.5404535
14.00.44 CP3D S0100985 _CSQX599E !QP2S CSQXRESP Channel TIMCLU.QP0S ended abnormally connection 21.125.41.114,5,-1.06367936,0.991462941,115.780157
"02.38.15 CP3A J0019120 IEC999I IFG0TC0A,IFG0TC0B,P3OLOG ,IOS080I ,DEB ADDR=89C07C ,DSN = SYSBAK.OLOG.PLEXP3.DAILY.G1819V00",5,-1.063451028,0.991333592,114.0718073
07- 17.27.25 CP1D S0010098 DSNT375I -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER - LUW-ID=GB030204.K0BF.D4209AAB3C7E=125117 - - THREAD-INFO=WASDB2U:11.3.2.4:WASD B2U:db2jcc_application:DYNAMIC,5,-1.063293052,0.991204243,112.4131383
