,id,summary,risk
448,51009,"*12.49.32 CP1F          *IEA480E 5659,SCU,MODERATE ALERT,MT=2107, * SER=0385-50561, *REFCODE=AF60-16E0-1176,SENSE=00901000 003C8F31 11500016 E011760D *0500C581 A560AF60 05104200 F1000000",10000
2368,52929,"21.13.46 J0121368  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 81.1% INUSE SYSJOB DSNAME=DSNDP01R.DP71.AC1.D2018350.T2113007.A0168552, - STARTRBA=000000013E1DA3C5C000, ENDRBA=000000013E1E76C1BFFF, - STARTLRSN=00D563357E271A5A2400, ENDLRSN=00D5633B535",2927.364029
2855,53416,"*22.58.56          *IEA480E 226E,SCU,MODERATE ALERT,MT=2107,SER=0385-51965, *REFCODE=CF12-16E0-0F56,SENSE=00901000 003C8F79 11500016 E00F560D *0500CAFD B808CF12 05104E03 F1000000",1714.652637
417,50978,"02.20.12 CP1D S0130146 *IEA480E 179B,DASD,SERIOUS ALERT,MT=2107, * SER=0385-50562, *REFCODE=EF13-8001-8105,VOLSER=P1179B,ID=05,SENSE=00000600 1B32CF05 *11800080 0181050D 0500C582 A178EF13 05104200 FE000000",1212.39638
3978,54539,"10.24.29 CP2A S0187815  DSNP007I  -DP11 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP11WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF261, -            LUW-ID=DSNDP01.DP11APPL.D56F3C11",937.7194771
1984,52545,15.12.29 S0093400  DSNT375I  -DPW1 PLAN=DSNACLI WITH CORRELATION-ID=LDPSRV CONNECTION-ID=DB2CALL -         LUW-ID=BOCHQP.DPW1APPL.D5606702DFFD=34314 -         THREAD-INFO=LDPSRV:DB2CALL:LDPSRV:LDPSRV:DYNAMIC:1203:*:* -         IS,764.5135669
2426,52987,"21.14.20 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPY1.TO.QMENP",645.3172017
956,51517,.37.25 CPKB STC07342  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1A INACTIVE - TGN = 21,558.2756714
2425,52986,"21.14.21 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 333 86.4% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPS1.TO.QMENP",491.924078
3046,53607,"E2E: 20.59.41 CP3B S0079030  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",439.6690001
2480,53041,"01.19.33          *IOS002A 0702,NO PATHS AVAILABLE",397.4495626
2916,53477,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201705</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:05:10.23462330.1221562Z</",362.6280237
821,51382,15.06.11 CP1D S0177925  DSNT375I  -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER -         LUW-ID=GB030205.IC22.D5577C464A22=10999 - - THREAD-INFO=WASDB2U:11.3.2.5:WASDB2U:db2jcc_application:DYNAMIC:1289,333.4165734
790,51351,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>107495</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL16547-2018-12-06T16:06:59.10289788.666324Z</S",308.560523
2915,53476,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201494</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:06:13.22085972.1217069Z</",287.1533728
789,51350,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>83271</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-06T16:05:11.38797792.502281Z</Sw",268.5238648
