,id,summary,risk,category,variance
448,51009,"*12.49.32 CP1F          *IEA480E 5659,SCU,MODERATE ALERT,MT=2107, * SER=0385-50561, *REFCODE=AF60-16E0-1176,SENSE=00901000 003C8F31 11500016 E011760D *0500C581 A560AF60 05104200 F1000000",10000,8,-1.036807197
2855,53416,"*22.58.56          *IEA480E 226E,SCU,MODERATE ALERT,MT=2107,SER=0385-51965, *REFCODE=CF12-16E0-0F56,SENSE=00901000 003C8F79 11500016 E00F560D *0500CAFD B808CF12 05104E03 F1000000",4091,8,-1.036605654
2368,52929,"21.13.46 J0121368  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 81.1% INUSE SYSJOB DSNAME=DSNDP01R.DP71.AC1.D2018350.T2113007.A0168552, - STARTRBA=000000013E1DA3C5C000, ENDRBA=000000013E1E76C1BFFF, - STARTLRSN=00D563357E271A5A2400, ENDLRSN=00D5633B535",1875,8,-1.032181514
2916,53477,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201705</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:05:10.23462330.1221562Z</",1476,8,-1.030444022
790,51351,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>107495</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL16547-2018-12-06T16:06:59.10289788.666324Z</S",1216,8,-1.028975965
789,51350,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>83271</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-06T16:05:11.38797792.502281Z</Sw",1035,8,-1.02885973
3788,54349,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",900,8,-1.028435161
3785,54346,"E2E:2018-12-25 20:07:17,970 ERROR - [data.proc.output_rrtview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",797,8,-1.02839752
3786,54347,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",648,8,-1.028335818
2915,53476,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201494</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:06:13.22085972.1217069Z</",592,8,-1.028146886
417,50978,"02.20.12 CP1D S0130146 *IEA480E 179B,DASD,SERIOUS ALERT,MT=2107, * SER=0385-50562, *REFCODE=EF13-8001-8105,VOLSER=P1179B,ID=05,SENSE=00000600 1B32CF05 *11800080 0181050D 0500C582 A178EF13 05104200 FE000000",546,8,-1.027865803
329,50890,05.06.27 CP1F J0048006  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB Volume FD3001 (/tapelibPRODHSH/DD1_POOL02_FS1/FD3001) already scratched,506,8,-1.027852183
791,51352,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>82887</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-06T16:06:43.22806968.502675Z</Sw",471,8,-1.027837248
