,0,summary
50561,1.778368686,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 21 DATASETS(MAX 32) SYSJOB
50562,1.459751608,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
50563,1.550527627,21.14.39 CP1F J0122972  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
50564,2.026523615,21.13.25 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.1% INUSE SYSJOB
50565,2.491251578,21.13.23 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 72.9% INUSE SYSJOB
50566,2.524682754,21.13.24 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 78.6% INUSE SYSJOB
50567,2.681717458,21.13.23 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.4% INUSE SYSJOB
50568,2.393296365,21.13.24 CP1F J0122972  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 71.5% INUSE SYSJOB
50569,3.704088521,21.12.50 CP1F J0123048 *IEF099I JOB NA100006 WAITING FOR DATA SETS
50570,1.481169271,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 23 DATASETS(MAX 32) SYSJOB
50571,1.270639878,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
50572,1.242788471,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
50573,1.220794901,21.04.11 CP1F J0122933  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
50574,99.94228991,22.01.32 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018
50575,3.982051808,23.36.08 CP1E J0134179 *IEF099I JOB G01S663B WAITING FOR DATA SETS
50576,4.890042567,23.09.10 CP1D J0129294 *IEF099I JOB EC046200 WAITING FOR DATA SETS
50577,3.97059172,00.57.41 CP1C J0138187 *IEF099I JOB G01S506B WAITING FOR DATA SETS
50578,11.35796412,".56.18 CP2A           IOS080I 4CFB,A5,UL460009, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.CUS1.UU460009"
50579,4.024644163,00.51.04 CP1D J0135720 *IEF099I JOB SA060000 WAITING FOR DATA SETS
50580,16.66170854,"00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED"
50581,18.95025912,"00.40.03 CP2D S0065864 *IOS003A 24AB,INTERVENTION REQUIRED"
50582,19.48554214,"00.40.02 CP2D S0065864 *IOS003A 1E13,INTERVENTION REQUIRED"
50583,16.66170854,"*00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED"
